Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:13:28 PM,41,0,41
Apr 12, 2018,9:13:28 PM,41,41,41
Apr 12, 2018,9:13:28 PM,42,42,41
Apr 12, 2018,9:13:28 PM,42,42,41
Apr 12, 2018,9:13:29 PM,42,42,41
Apr 12, 2018,9:13:29 PM,42,42,41
Apr 12, 2018,9:13:29 PM,42,42,41
Apr 12, 2018,9:13:29 PM,42,42,41
Apr 12, 2018,9:13:29 PM,41,42,41
Apr 12, 2018,9:13:30 PM,41,42,41
Apr 12, 2018,9:13:30 PM,41,42,41
Apr 12, 2018,9:13:30 PM,41,42,41
Apr 12, 2018,9:13:30 PM,41,42,41
Apr 12, 2018,9:13:30 PM,40,42,41
Apr 12, 2018,9:13:31 PM,41,42,41
Apr 12, 2018,9:13:31 PM,41,42,41
Apr 12, 2018,9:13:31 PM,41,42,41
Apr 12, 2018,9:13:31 PM,42,42,41
Apr 12, 2018,9:13:31 PM,43,43,41
Apr 12, 2018,9:13:32 PM,44,44,41
Apr 12, 2018,9:13:32 PM,45,45,41
Apr 12, 2018,9:13:32 PM,47,47,41
Apr 12, 2018,9:13:32 PM,47,47,42
Apr 12, 2018,9:13:32 PM,46,47,42
Apr 12, 2018,9:13:33 PM,47,47,42
Apr 12, 2018,9:13:33 PM,47,47,42
Apr 12, 2018,9:13:33 PM,47,47,42
Apr 12, 2018,9:13:33 PM,46,47,42
Apr 12, 2018,9:13:33 PM,46,47,43
Apr 12, 2018,9:13:34 PM,48,48,43
Apr 12, 2018,9:13:34 PM,49,49,43
Apr 12, 2018,9:13:34 PM,50,50,43
Apr 12, 2018,9:13:34 PM,48,50,43
Apr 12, 2018,9:13:34 PM,47,50,43
Apr 12, 2018,9:13:35 PM,47,50,43
Apr 12, 2018,9:13:35 PM,47,50,44
Apr 12, 2018,9:13:35 PM,47,50,44
Apr 12, 2018,9:13:35 PM,48,50,44
Apr 12, 2018,9:13:35 PM,52,52,44
Apr 12, 2018,9:13:36 PM,53,53,44
Apr 12, 2018,9:13:36 PM,51,53,44
Apr 12, 2018,9:13:36 PM,51,53,44
Apr 12, 2018,9:13:36 PM,55,55,45
