time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.022726,-0.016030,-0.018123,0.004143
0.032767,0.000983,-0.032056,0.003056
0.042776,-0.010715,-0.022407,0.003069
0.052817,-0.008573,-0.017059,-0.000104
0.062857,-0.002188,-0.022435,0.003092
0.072867,-0.008592,-0.024540,0.000928
0.082907,-0.009649,-0.023489,0.005203
0.092917,-0.004313,-0.018141,-0.000098
0.102957,-0.000069,-0.025635,0.000947
0.112967,-0.011765,-0.015991,0.002028
0.123007,-0.002207,-0.028837,0.001994
0.133047,-0.003237,-0.014946,0.000989
0.143057,-0.002209,-0.030988,0.005188
0.153097,-0.001119,-0.019219,-0.000094
0.163107,-0.009655,-0.024546,0.003062
0.173147,-0.005390,-0.023487,0.002010
0.183157,-0.006452,-0.020265,-0.001182
0.193198,-0.003250,-0.020290,0.002031
0.203207,-0.008579,-0.021351,0.004148
0.213248,-0.002209,-0.030988,0.005188
0.223288,-0.008576,-0.019205,0.002022
0.223288,-0.008576,-0.019205,0.002022
0.233298,-0.006446,-0.019207,0.000960
0.253387,-0.009647,-0.022416,0.004140
0.253387,-0.009647,-0.022416,0.004140
0.263427,-0.007528,-0.025616,0.001994
0.273437,-0.005384,-0.021351,0.002021
0.283477,0.001007,-0.021362,-0.000098
0.293517,-0.009631,-0.016003,0.003102
0.303527,0.002059,-0.028861,0.004142
0.313567,-0.012842,-0.021337,0.004136
0.323577,-0.007512,-0.019204,0.000957
0.343627,-0.008577,-0.021356,0.005216
0.353667,-0.007529,-0.026689,0.003058
0.353667,-0.007529,-0.026689,0.003058
0.363708,-0.006446,-0.019207,0.000960
0.373717,-0.005380,-0.019210,0.000962
0.383758,-0.007512,-0.019204,0.000957
0.393768,-0.009713,-0.045905,0.002961
0.403808,-0.044797,-0.014831,0.005147
0.413818,0.013800,-0.021414,0.002073
0.423858,-0.000048,-0.018160,0.000982
0.433868,-0.010708,-0.019198,0.002016
0.443908,-0.005402,-0.028837,0.004122
0.453948,-0.009645,-0.020270,0.002014
0.463958,-0.004314,-0.019214,0.000965
0.473998,-0.001124,-0.022433,0.002027
0.484008,-0.007520,-0.023485,0.003073
0.494048,-0.007517,-0.023495,0.005209
0.504058,-0.005383,-0.020278,0.000957
0.514098,-0.004316,-0.020287,0.002029
0.524139,-0.007510,-0.019209,0.002025
0.534148,-0.006466,-0.027761,0.003055
0.544189,-0.004332,-0.026700,0.003066
0.554198,-0.012829,-0.013836,-0.001169
0.564239,-0.002190,-0.022430,0.002024
0.574248,-0.007520,-0.023485,0.003073
0.584289,-0.008592,-0.025618,0.003060
0.594329,-0.005374,-0.017075,0.000973
0.604339,-0.004326,-0.022408,-0.001186
0.614379,-0.011772,-0.018122,0.000950
0.624389,-0.001137,-0.027778,0.003070
0.634429,-0.008582,-0.022419,0.004143
0.644439,-0.007513,-0.020277,0.002020
0.654479,0.001001,-0.023498,-0.000108
0.664489,-0.009645,-0.020270,0.002014
0.674529,-0.005400,-0.027764,0.003058
0.684570,-0.002193,-0.022420,-0.000112
0.694579,-0.007515,-0.020271,0.000952
0.704620,-0.006436,-0.016008,0.002043
0.714629,-0.002207,-0.028837,0.001994
0.724670,-0.008586,-0.024560,0.005201
0.734679,-0.005376,-0.017070,-0.000096
0.744720,0.001003,-0.023503,0.000960
0.754760,-0.011769,-0.018132,0.003086
0.764770,-0.002209,-0.029910,0.003057
0.774810,-0.004320,-0.022428,0.003087
0.784820,-0.010706,-0.018125,0.000953
0.794860,-0.002186,-0.020289,0.000966
0.804870,-0.005389,-0.023492,0.003079
0.814910,-0.009656,-0.024541,0.001994
0.824950,-0.004305,-0.017088,0.003112
0.834960,-0.002194,-0.023493,0.000951
0.845000,-0.013889,-0.013853,0.003101
0.855010,-0.002206,-0.028842,0.003062
0.865050,-0.011770,-0.019205,0.004149
0.875060,-0.009627,-0.013862,0.002044
0.885101,0.004211,-0.020315,0.002052
0.895110,-0.006449,-0.021353,0.003086
0.905151,-0.011769,-0.018132,0.003086
0.915191,-0.006449,-0.020275,0.000954
0.925201,-0.006430,-0.013872,0.002053
0.935241,-0.007515,-0.020271,0.000952
0.945251,-0.007518,-0.021339,0.000946
0.955291,-0.001117,-0.020302,0.003106
0.965301,-0.006439,-0.015998,-0.000093
0.975341,-0.013898,-0.015979,0.000954
0.985381,0.004197,-0.023503,-0.001168
0.995391,-0.005406,-0.028822,0.000917
1.005431,-0.011757,-0.012782,0.000975
1.015441,0.003155,-0.016034,0.001001
1.025481,-0.004325,-0.022413,-0.000118
1.035491,-0.014977,-0.020242,-0.000137
1.045531,0.006334,-0.023525,0.002043
1.055572,-0.012829,-0.015993,0.003094
1.065581,-0.009646,-0.020265,0.000946
1.075622,-0.006452,-0.022421,0.003081
1.085632,0.000994,-0.027785,0.003076
1.095672,-0.006440,-0.018149,0.003101
1.105682,-0.009632,-0.014925,0.000971
1.115722,-0.000063,-0.023499,0.000957
1.125732,-0.007526,-0.025621,0.003063
1.135772,-0.007517,-0.022417,0.003078
1.145812,-0.003237,-0.016024,0.003120
1.155822,-0.001117,-0.020302,0.003106
1.165862,-0.009648,-0.021338,0.002009
1.175872,-0.004330,-0.026705,0.004135
1.185912,-0.005381,-0.020283,0.002026
1.195922,-0.011763,-0.014918,0.000965
1.205962,-0.005388,-0.021341,-0.000116
1.216003,-0.001130,-0.024569,0.002017
1.226012,-0.010715,-0.021329,0.000938
1.236053,-0.005370,-0.016012,0.002046
1.246062,-0.004311,-0.018146,0.000970
1.256133,-0.010712,-0.020261,0.000943
1.266143,-0.001133,-0.025637,0.002012
1.276183,-0.003253,-0.021358,0.002026
1.286223,-0.012817,-0.010643,0.000982
1.296233,-0.001130,-0.023491,-0.000114
1.306273,-0.007537,-0.027742,-0.000152
1.316283,-0.007521,-0.022407,0.000941
1.326323,-0.002178,-0.018158,0.002045
1.336333,-0.006448,-0.018124,-0.002240
1.346373,-0.006455,-0.021333,-0.001187
1.356383,-0.002200,-0.026706,0.003072
1.366423,-0.006453,-0.022416,0.002013
1.376464,-0.012833,-0.017055,0.002020
1.386473,-0.001133,-0.024559,-0.000119
1.396514,-0.006469,-0.027750,0.000919
1.406523,-0.007520,-0.023485,0.003073
1.416564,-0.001120,-0.020292,0.000969
1.426573,-0.009639,-0.018134,0.002024
1.436614,-0.004329,-0.023475,-0.001191
1.446654,-0.005394,-0.025628,0.003068
1.456664,-0.009648,-0.021338,0.002009
1.466704,-0.006428,-0.013877,0.003121
1.476714,-0.004322,-0.021345,-0.000113
1.486754,-0.004320,-0.021350,0.000955
1.496764,-0.002202,-0.026701,0.002004
1.506804,-0.006438,-0.018154,0.004169
1.516844,-0.008567,-0.016001,0.002037
1.526854,-0.003259,-0.023494,0.002016
1.536894,-0.003259,-0.023494,0.002016
1.546904,-0.003257,-0.022421,0.000953
1.556945,-0.005367,-0.014944,0.002051
1.566954,-0.001132,-0.023486,-0.001182
1.576995,-0.007525,-0.023470,-0.000132
1.587004,-0.006462,-0.025620,0.001997
1.597045,-0.002186,-0.019211,-0.001165
1.607085,-0.009637,-0.017061,0.000961
1.617095,-0.007528,-0.023460,-0.002268
1.627135,-0.003271,-0.026688,-0.000135
1.637145,-0.007525,-0.023470,-0.000132
1.647185,-0.007513,-0.020277,0.002020
1.657195,-0.008579,-0.019195,-0.000115
1.667235,-0.006471,-0.027745,-0.000149
1.677275,-0.007529,-0.025611,0.000926
1.687285,-0.005386,-0.020268,-0.001179
1.697325,-0.009634,-0.017071,0.003097
1.707335,-0.003278,-0.027741,-0.003345
1.717375,-0.008579,-0.020273,0.002017
1.727385,-0.002202,-0.025623,-0.000127
1.737425,-0.008578,-0.019200,0.000954
1.747466,-0.006438,-0.017076,0.002038
1.757476,-0.005396,-0.024545,-0.000131
1.767516,-0.004333,-0.026694,0.001998
1.777526,-0.006459,-0.023474,-0.000129
1.787566,-0.009639,-0.017056,-0.000107
1.797576,-0.009643,-0.019197,0.000951
1.807616,-0.001141,-0.026690,-0.001198
1.817626,-0.008577,-0.020278,0.003085
1.827666,-0.003253,-0.021358,0.002026
1.837706,-0.007504,-0.017073,0.002035
1.847716,-0.006455,-0.021333,-0.001187
1.857756,-0.006461,-0.024547,0.000934
1.867766,-0.003269,-0.026693,0.000933
1.877806,-0.006446,-0.019207,0.000960
1.887816,-0.010697,-0.014921,0.000968
1.897856,-0.002206,-0.027764,0.000931
1.907897,-0.007535,-0.026669,-0.001215
1.917906,-0.006450,-0.020270,-0.000114
1.927947,-0.007503,-0.016000,0.000972
1.937956,-0.003268,-0.024542,-0.002262
1.947997,-0.001140,-0.027768,0.000934
1.958007,-0.007530,-0.024533,-0.001205
1.968047,-0.005379,-0.019216,0.002031
1.978087,-0.003250,-0.019212,-0.000100
1.988097,-0.003259,-0.022416,-0.000115
1.998137,-0.001137,-0.026700,0.000939
2.008147,-0.006456,-0.022406,-0.000124
2.018187,-0.004301,-0.013869,-0.000077
2.028197,-0.004320,-0.020272,-0.001176
2.038237,-0.005410,-0.028812,-0.001219
2.048247,-0.007516,-0.020266,-0.000117
2.058287,-0.005388,-0.020263,-0.002247
2.068328,-0.006436,-0.016008,0.002043
2.078337,-0.007531,-0.023450,-0.004405
2.088378,-0.005399,-0.025613,-0.000136
2.098387,-0.006449,-0.019197,-0.001177
2.108428,-0.006440,-0.015993,-0.001162
2.118437,-0.006450,-0.020270,-0.000114
2.128478,-0.004331,-0.023470,-0.002259
2.138518,-0.004324,-0.023491,0.002013
2.148528,-0.004335,-0.026689,0.000930
2.158568,-0.011757,-0.013860,0.003107
2.168578,-0.001138,-0.024544,-0.003324
2.178618,-0.005401,-0.026686,0.000927
2.188628,-0.003256,-0.022426,0.002021
2.198668,-0.002192,-0.022425,0.000956
2.208678,-0.011765,-0.015991,0.002028
2.218718,-0.001144,-0.027758,-0.001203
2.228758,-0.005401,-0.026686,0.000927
2.238768,-0.007519,-0.021334,-0.000122
2.248821,-0.003241,-0.017087,0.002047
2.258830,-0.006450,-0.021348,0.002018
2.268871,-0.003268,-0.025620,-0.000130
2.278880,-0.006459,-0.024552,0.002002
2.288921,-0.005388,-0.021341,-0.000116
2.298961,-0.010696,-0.014926,0.002036
2.308971,-0.001131,-0.022413,-0.002246
2.319011,-0.002199,-0.025633,0.002009
2.329021,-0.008580,-0.020268,0.000949
2.339061,-0.005385,-0.020273,-0.000111
2.349071,-0.003250,-0.019212,-0.000100
2.359111,-0.005402,-0.025603,-0.002272
2.369151,-0.004328,-0.023481,-0.000123
2.379161,-0.001126,-0.022428,0.000959
2.389201,-0.003247,-0.018144,-0.000095
2.399211,-0.006457,-0.021328,-0.002255
2.409251,-0.002210,-0.026676,-0.003337
2.419260,-0.005404,-0.026676,-0.001209
2.429301,-0.004315,-0.018136,-0.001166
2.439311,-0.004310,-0.017073,-0.000093
2.449352,-0.002214,-0.027739,-0.004410
2.459392,-0.007534,-0.026674,-0.000147
2.469402,-0.006455,-0.021333,-0.001187
2.479442,-0.006456,-0.022406,-0.000124
2.489452,-0.007518,-0.020261,-0.001185
2.499492,-0.004343,-0.026664,-0.004411
2.509502,-0.004329,-0.024554,0.000940
2.519542,-0.007515,-0.019193,-0.001180
2.529582,-0.005385,-0.020273,-0.000111
2.539592,-0.009648,-0.018103,-0.004385
2.549632,-0.005400,-0.024535,-0.002267
2.559642,-0.006462,-0.024542,-0.000134
2.569682,-0.007519,-0.021334,-0.000122
2.579692,-0.007503,-0.016000,0.000972
2.589732,-0.003271,-0.026688,-0.000135
2.599773,-0.006463,-0.025615,0.000929
2.609782,-0.003266,-0.024547,-0.001193
2.619823,-0.005377,-0.018143,0.000968
2.629832,-0.007515,-0.019193,-0.001180
2.639873,-0.002217,-0.030963,-0.000153
2.649883,-0.009660,-0.024531,-0.000143
2.659923,-0.009632,-0.014925,0.000971
2.669933,-0.004319,-0.020277,-0.000108
2.679973,-0.006468,-0.025599,-0.002275
2.690013,-0.005392,-0.022404,-0.001189
2.700023,-0.004332,-0.024543,-0.001196
2.710063,-0.010712,-0.020261,0.000943
2.720073,-0.010705,-0.015974,-0.002242
2.730113,-0.004340,-0.026674,-0.002275
2.740123,-0.006470,-0.026672,-0.001212
2.750163,-0.007519,-0.020256,-0.002253
2.760204,-0.002176,-0.016012,-0.000082
2.770213,-0.006453,-0.021338,-0.000119
2.780254,0.000973,-0.032026,-0.003353
2.790263,-0.009661,-0.024526,-0.001211
2.800304,-0.007513,-0.019198,-0.000112
2.810313,-0.003246,-0.017071,-0.001158
2.820354,0.002054,-0.027768,-0.001194
2.830394,-0.009651,-0.020249,-0.002259
2.840404,0.000984,-0.028827,-0.002270
2.850444,-0.014955,-0.012772,0.000966
2.860454,-0.004323,-0.021340,-0.001181
2.870494,-0.003272,-0.026683,-0.001203
2.880503,-0.008588,-0.021321,-0.002261
2.890544,-0.005383,-0.020278,0.000957
2.900554,-0.006452,-0.020265,-0.001182
2.910594,-0.011783,-0.020242,-0.002265
2.920634,-0.007530,-0.024533,-0.001205
2.930644,-0.006458,-0.023479,0.000939
2.940685,-0.003244,-0.018155,0.002042
2.950694,-0.005377,-0.018143,0.000968
2.960735,-0.006462,-0.024542,-0.000134
2.970744,-0.001130,-0.024569,0.002017
2.980785,-0.005380,-0.019210,0.000962
2.990825,-0.004314,-0.019214,0.000965
3.000835,-0.001118,-0.020297,0.002037
3.010875,-0.002198,-0.022404,-0.003317
3.020885,-0.006461,-0.024547,0.000934
3.030925,-0.006433,-0.013862,-0.000083
3.040935,-0.003246,-0.018149,0.000973
3.050975,-0.008593,-0.022384,-0.003334
3.060985,-0.004332,-0.024543,-0.001196
3.071025,-0.007510,-0.018131,-0.000107
3.081065,-0.006454,-0.020260,-0.002250
3.091075,-0.009641,-0.017051,-0.001176
3.101115,-0.002202,-0.023467,-0.004390
3.111125,-0.004336,-0.026684,-0.000138
3.121165,-0.005391,-0.021331,-0.002252
3.131175,-0.004307,-0.016005,-0.000088
3.141216,-0.006458,-0.021323,-0.003323
3.151256,0.000978,-0.030963,-0.002280
3.161266,-0.008588,-0.021321,-0.002261
3.171306,-0.007517,-0.019188,-0.002248
3.181316,-0.004294,-0.010660,-0.001131
3.191356,-0.007542,-0.027727,-0.003357
3.201366,-0.005405,-0.027749,-0.000146
3.211406,-0.007511,-0.017052,-0.002238
3.221446,-0.008582,-0.020263,-0.000120
3.231456,-0.007519,-0.020256,-0.002253
