Timestamp,X,Y,Z
0.011,-0.3676355,-0.8346643,9.372909
0.032,-0.18920654,-0.8430469,9.181308
0.052,-0.21315674,-0.77718383,9.150172
0.072,-0.23111938,-0.8322693,9.133407
0.093,-0.432301,-0.7747888,9.374106
0.113,-0.24069947,-0.7975415,9.171727
0.134,-0.24069947,-0.7975415,9.171727
0.154,-0.32692015,-0.7580237,9.259146
0.175,-0.1472937,-0.8634045,9.219627
0.195,-0.26345214,-0.803529,9.145382
0.216,-0.22872436,-0.8370593,9.14658
0.236,-0.09101074,-0.8370593,9.322614
0.256,-0.09101074,-0.8370593,9.322614
0.277,-0.38799316,-0.8466394,9.198072
0.297,-0.39877075,-0.796344,9.262738
0.318,-0.05748047,-0.86100954,9.193282
0.338,-0.17363891,-0.82747924,9.183702
0.359,-0.47062135,-0.7975415,9.321416
0.379,-0.47062135,-0.7975415,9.321416
0.4,-0.26704466,-0.86220706,9.060359
0.42,-0.10897339,-0.8418494,9.226812
0.44,-0.3185376,-0.79394895,9.259146
0.461,-0.22632934,-0.87178713,9.413624
0.481,-0.24788453,-0.79035646,9.315429
0.502,-0.17962646,-0.8071216,9.091495
0.522,-0.17962646,-0.8071216,9.091495
0.543,-0.25267455,-0.798739,9.26154
0.563,-0.068258055,-0.86579955,9.309441
0.584,-0.068258055,-0.86579955,9.309441
0.604,-0.40116578,-0.8107141,9.171727
0.624,-0.31734008,-0.7831714,9.217233
0.645,-0.13891113,-0.8430469,9.121432
0.665,-0.13891113,-0.8430469,9.121432
0.686,-0.13891113,-0.8430469,9.121432
0.706,-0.064665526,-0.8466394,9.325008
0.728,-0.064665526,-0.8466394,9.325008
0.749,-0.2969824,-0.86579955,9.524993
0.77,-0.2969824,-0.86579955,9.524993
0.79,-0.432301,-0.8358618,9.296268
0.811,-0.16046631,-0.8346643,9.524993
0.832,-0.16046631,-0.8346643,9.524993
0.852,-0.039517824,-0.8909473,9.321416
0.873,-0.38080812,-0.8262817,9.129814
0.893,-0.36164796,-0.79514647,9.473499
0.913,-0.120948486,-0.81670165,9.154963
0.934,-0.12573853,-0.86699706,9.481882
0.954,-0.10298584,-0.8298743,9.205257
0.975,-0.37362304,-0.8310718,9.356144
0.995,-0.08981323,-0.84065187,9.398057
1.016,-0.3412903,-0.8490344,9.212442
1.036,-0.3412903,-0.8490344,9.212442
1.057,-0.061072998,-0.8418494,9.170529
1.077,-0.26225463,-0.8083191,9.486672
1.098,-0.3293152,-0.76281375,9.235195
1.118,-0.3293152,-0.76281375,9.235195
1.138,-0.05867798,-0.7256909,9.402846
1.159,-0.3915857,-0.6610254,9.392069
1.179,-0.3915857,-0.6610254,9.392069
1.2,-0.22752686,-0.6598279,9.374106
1.22,-0.3221301,-0.6933582,9.372909
1.241,-0.039517824,-0.64545774,9.2890835
1.261,-0.039517824,-0.64545774,9.2890835
1.282,-0.38679564,-0.48139894,9.186097
1.302,-0.4406836,-0.63108766,9.321416
1.323,-0.17842895,-0.57959473,9.237591
1.343,-0.11855347,-0.67898804,9.114246
1.363,-0.36284545,-0.55324954,9.321416
1.384,-0.3412903,-0.4658313,9.325008
1.404,-0.3412903,-0.4658313,9.325008
1.425,-0.2802173,-0.5281018,9.285491
1.445,-0.38320312,-0.6646179,9.369316
1.466,-0.07304809,-0.6442602,9.196875
1.486,-0.07304809,-0.6442602,9.196875
1.507,-0.26704466,-0.676593,9.411229
1.529,-0.5400769,-0.49936157,9.412427
1.55,-0.5400769,-0.49936157,9.412427
1.571,-0.04550537,-0.6777905,9.226812
1.592,-0.04550537,-0.6777905,9.226812
1.613,-0.4682263,-0.51013917,9.310638
1.634,,,
1.654,-0.41074586,-0.5233118,9.364527
1.675,-0.069455564,-0.6490503,9.16574
1.696,-0.3544629,-0.5616321,9.210048
1.717,-0.08981323,-0.74006104,9.224418
1.741,-0.43709105,-0.5185217,9.301059
1.762,-0.43709105,-0.5185217,9.301059
1.783,-0.29219237,-0.71730834,9.365724
1.804,-0.04430786,-0.66821045,9.2256155
1.825,-0.04430786,-0.66821045,9.2256155
1.846,-0.3412903,-0.5676196,9.291478
1.867,-0.33171022,-0.71730834,9.411229
1.888,-0.16645385,-0.676593,9.259146
1.909,-0.26704466,-0.7209009,9.348959
1.93,-0.27183473,-0.613125,9.19927
1.951,-0.3412903,-0.75203615,9.237591
1.972,-0.3412903,-0.75203615,9.237591
1.993,0.0,-0.732876,9.235195
2.014,-0.34967285,-0.671803,9.388476
2.035,-0.20118164,-0.64545774,9.313033
2.056,-0.20118164,-0.64545774,9.313033
2.077,-0.39877075,-0.5484595,9.236393
2.098,-0.0742456,-0.7089258,9.250763
2.119,-0.38440064,-0.5891748,9.2890835
2.142,-0.38440064,-0.5891748,9.2890835
2.164,-0.4790039,-0.54247195,9.233997
2.185,-0.14010864,-0.6394702,9.333391
2.206,-0.19998413,-0.6394702,9.158555
2.227,-0.19998413,-0.6394702,9.158555
2.248,-0.3161426,-0.5340893,9.136999
2.27,-0.3161426,-0.5340893,9.136999
2.29,-0.3221301,-0.7424561,9.401649
2.311,-0.17363891,-0.6586304,9.353748
2.332,-0.17363891,-0.6586304,9.353748
2.353,-0.17363891,-0.6586304,9.353748
2.374,-0.17363891,-0.6586304,9.353748
2.395,-0.3197351,-0.5783972,9.210048
2.415,-0.03592529,-0.7244934,9.16574
2.436,-0.03592529,-0.7244934,9.16574
2.456,-0.03592529,-0.7244934,9.16574
2.477,-0.24309449,-0.7256909,9.362131
2.498,-0.034727782,-0.7197034,9.29028
2.519,-0.034727782,-0.7197034,9.29028
2.54,-0.2826123,-0.63108766,9.077124
2.561,-0.025147704,-0.7532337,9.285491
2.582,-0.38679564,-0.5640271,9.260343
2.602,-0.22752686,-0.6274951,9.316626
2.623,-0.2574646,-0.7699988,9.335786
2.644,-0.082628176,-0.70653075,9.254355
2.665,-0.21435425,-0.7041357,9.265133
2.689,-0.38080812,-0.549657,9.329799
2.71,-0.17723145,-0.674198,9.166937
2.731,-0.21555176,-0.60354495,9.426797
2.754,-0.33889526,-0.7220984,9.354946
2.775,-0.33171022,-0.5065466,9.297466
2.796,-0.20477417,-0.7747888,9.298663
2.816,-0.36404297,-0.55803955,9.050778
2.838,-0.36404297,-0.55803955,9.050778
2.859,-0.33650026,-0.73407346,9.285491
2.88,-0.2203418,-0.7244934,9.212442
2.901,-0.2203418,-0.7244934,9.212442
2.921,-0.41433838,-0.48259643,9.291478
2.942,-0.2694397,-0.6610254,9.342971
2.963,-0.2694397,-0.6610254,9.342971
2.984,-0.3161426,-0.7089258,9.336984
3.005,-0.33889526,-0.48499146,9.293873
3.026,-0.19399658,-0.6370752,9.336984
3.048,-0.21076173,-0.53049684,9.102272
3.069,-0.3915857,-0.7101233,9.366921
3.09,-0.21914428,-0.6322852,9.229208
3.111,-0.18920654,-0.69216067,9.311836
3.134,-0.082628176,-0.59156984,9.135802
3.155,-0.38080812,-0.4646338,9.333391
3.176,-0.24788453,-0.6813831,9.245973
3.197,-0.30177248,-0.54366946,9.376501
3.218,-0.3329077,-0.7101233,9.398057
3.239,-0.17723145,-0.6730005,9.320218
3.26,-0.15328126,-0.6861731,9.283095
3.283,-0.19040406,-0.5340893,8.980125
3.304,-0.43828857,-0.66701293,9.352551
3.325,-0.13771363,-0.61073,9.092691
3.346,-0.26105714,-0.7232959,9.47829
3.367,-0.26105714,-0.7232959,9.47829
3.389,-0.366438,-0.5484595,9.402846
3.41,-0.41673338,-0.4658313,9.103469
3.437,-0.41673338,-0.4658313,9.103469
3.457,-0.41673338,-0.4658313,9.103469
3.478,-0.15687378,-0.7244934,9.55014
3.498,-0.15687378,-0.7244934,9.55014
3.519,-0.05987549,-0.6610254,9.636361
3.539,-0.41433838,-0.45864624,8.935818
3.56,-0.41433838,-0.45864624,8.935818
3.58,-0.29578492,-0.48139894,8.964558
3.6,-0.14609618,-0.5879773,9.983639
3.621,-0.26704466,-0.4394861,9.214838
3.641,-0.2323169,-0.5161267,10.012379
3.662,-0.23111938,-0.38320312,9.2747135
3.682,-0.24189697,-0.40116578,9.364527
3.703,-0.37721556,-0.32452515,8.446036
3.723,-0.065863036,-0.21794678,10.048305
3.743,-0.34488282,-0.3436853,8.807684
3.764,-0.34488282,-0.3436853,8.807684
3.784,-0.3927832,-0.10538086,8.647218
3.805,-0.36045045,-0.09101074,8.889115
3.825,-0.36045045,-0.09101074,8.889115
3.846,-0.33530274,-0.08023316,9.119037
3.866,-0.34248778,0.026345216,9.133407
3.886,-0.43110353,-0.029937744,9.253158
3.907,-0.48379394,-0.008382568,9.1765175
3.927,-0.17723145,0.064665526,9.011261
3.948,0.04550537,0.040715333,9.718989
3.968,-0.3820056,0.04670288,9.255553
3.989,0.017962646,0.08861572,9.642348
4.009,-0.31015503,0.061072998,8.823252
4.03,-0.35925293,0.10897339,9.509425
4.05,-0.35925293,0.10897339,9.509425
4.071,-0.57480466,0.09460327,9.096284
4.091,-0.2969824,0.11256592,9.243578
4.112,-0.6227051,0.09939331,9.230405
4.132,-0.60833496,0.081430666,9.332193
4.153,0.20597167,0.0023950196,9.5070305
4.173,-0.58198977,0.016765136,9.186097
4.193,-0.7005432,0.082628176,9.305848
4.214,-0.6274951,0.05628296,9.486672
4.234,0.3329077,-0.08741821,9.445957
4.255,0.3065625,-0.032332763,9.1849
