Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:36:53 PM,65,0,65
Apr 12, 2018,9:36:53 PM,65,65,65
Apr 12, 2018,9:36:54 PM,66,66,65
Apr 12, 2018,9:36:54 PM,60,66,64
Apr 12, 2018,9:36:54 PM,63,66,63
Apr 12, 2018,9:36:54 PM,65,66,64
Apr 12, 2018,9:36:54 PM,65,66,64
Apr 12, 2018,9:36:55 PM,66,66,64
Apr 12, 2018,9:36:55 PM,61,66,64
Apr 12, 2018,9:36:55 PM,63,66,63
Apr 12, 2018,9:36:55 PM,64,66,63
Apr 12, 2018,9:36:55 PM,64,66,63
Apr 12, 2018,9:36:56 PM,70,70,64
Apr 12, 2018,9:36:56 PM,86,86,65
Apr 12, 2018,9:36:56 PM,105,105,68
Apr 12, 2018,9:36:56 PM,99,105,70
Apr 12, 2018,9:36:56 PM,102,105,72
Apr 12, 2018,9:36:57 PM,96,105,73
Apr 12, 2018,9:36:57 PM,84,105,74
Apr 12, 2018,9:36:57 PM,68,105,73
Apr 12, 2018,9:36:57 PM,63,105,73
Apr 12, 2018,9:36:57 PM,69,105,73
Apr 12, 2018,9:36:58 PM,90,105,73
Apr 12, 2018,9:36:58 PM,108,108,75
Apr 12, 2018,9:36:58 PM,105,108,76
Apr 12, 2018,9:36:58 PM,102,108,77
Apr 12, 2018,9:36:58 PM,94,108,78
Apr 12, 2018,9:36:59 PM,96,108,78
Apr 12, 2018,9:36:59 PM,96,108,79
Apr 12, 2018,9:36:59 PM,81,108,79
Apr 12, 2018,9:36:59 PM,79,108,79
Apr 12, 2018,9:36:59 PM,96,108,79
Apr 12, 2018,9:37:00 PM,73,108,79
Apr 12, 2018,9:37:00 PM,63,108,79
Apr 12, 2018,9:37:00 PM,79,108,79
Apr 12, 2018,9:37:00 PM,120,120,80
Apr 12, 2018,9:37:00 PM,120,120,81
Apr 12, 2018,9:37:01 PM,73,120,81
Apr 12, 2018,9:37:01 PM,64,120,80
Apr 12, 2018,9:37:01 PM,74,120,80
Apr 12, 2018,9:37:01 PM,83,120,80
Apr 12, 2018,9:37:01 PM,90,120,80
Apr 12, 2018,9:37:02 PM,92,120,81
Apr 12, 2018,9:37:02 PM,96,120,81
Apr 12, 2018,9:37:02 PM,96,120,81
Apr 12, 2018,9:37:02 PM,92,120,81
Apr 12, 2018,9:37:02 PM,90,120,82
Apr 12, 2018,9:37:03 PM,81,120,82
Apr 12, 2018,9:37:03 PM,71,120,81
Apr 12, 2018,9:37:03 PM,73,120,81
Apr 12, 2018,9:37:03 PM,79,120,81
Apr 12, 2018,9:37:03 PM,90,120,81
Apr 12, 2018,9:37:04 PM,96,120,82
Apr 12, 2018,9:37:04 PM,96,120,82
Apr 12, 2018,9:37:04 PM,73,120,82
Apr 12, 2018,9:37:04 PM,65,120,81
Apr 12, 2018,9:37:04 PM,81,120,81
Apr 12, 2018,9:37:05 PM,77,120,81
Apr 12, 2018,9:37:05 PM,65,120,81
Apr 12, 2018,9:37:05 PM,66,120,81
Apr 12, 2018,9:37:05 PM,74,120,81
Apr 12, 2018,9:37:05 PM,94,120,81
Apr 12, 2018,9:37:06 PM,111,120,81
Apr 12, 2018,9:37:06 PM,99,120,82
Apr 12, 2018,9:37:06 PM,96,120,82
Apr 12, 2018,9:37:06 PM,99,120,82
Apr 12, 2018,9:37:06 PM,99,120,82
Apr 12, 2018,9:37:07 PM,84,120,82
Apr 12, 2018,9:37:07 PM,74,120,82
Apr 12, 2018,9:37:07 PM,75,120,82
Apr 12, 2018,9:37:07 PM,99,120,82
Apr 12, 2018,9:37:07 PM,99,120,83
Apr 12, 2018,9:37:08 PM,102,120,83
Apr 12, 2018,9:37:08 PM,83,120,83
