time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.008064,0.041478,-0.430599,0.016237
0.018074,0.172171,-0.588107,0.036149
0.038124,-0.051007,-0.748691,0.045455
0.058174,-0.368113,-0.554273,0.026270
0.068214,-0.442263,-0.374503,0.002347
0.088264,-0.276043,-0.001254,0.002436
0.108314,0.045600,0.257888,0.086803
0.118324,0.125739,0.318384,0.111880
0.138374,0.114971,0.273525,0.120183
0.158424,0.030410,0.151068,0.102279
0.168465,-0.034761,0.103303,0.084781
0.188515,-0.140563,0.023769,0.038180
0.198524,-0.156617,0.004644,0.028431
0.218574,-0.108615,0.004357,0.056336
0.238625,0.031199,0.048528,0.105001
0.258705,0.097415,0.086663,0.125660
0.268715,0.054824,0.096367,0.135202
0.288765,-0.155245,0.062916,0.125918
0.298805,-0.241677,0.038746,0.102064
0.318855,-0.264210,0.004827,0.063385
0.338905,-0.123504,0.017230,0.054219
0.358955,-0.022049,0.101354,0.036738
0.368965,-0.012352,0.143002,0.030552
0.389015,-0.050664,0.163412,0.031611
0.399055,-0.111481,0.144433,0.021739
0.419105,-0.207652,0.091672,-0.047142
0.439156,-0.202571,0.041811,-0.121070
0.459206,-0.167476,0.005231,-0.125269
0.469215,-0.065198,-0.015362,-0.094256
0.489265,-0.023736,-0.092727,-0.022937
0.499306,0.012356,-0.159173,0.001418
0.519356,0.090843,-0.305796,0.013759
0.539406,0.161998,-0.412947,0.040155
0.549446,0.217385,-0.438869,0.063686
0.569507,0.328217,-0.455354,0.086347
0.589557,0.402796,-0.438277,0.037496
0.599567,0.388894,-0.428388,-0.011634
0.619617,0.280984,-0.483216,-0.086966
0.639667,0.084647,-0.576643,-0.069791
0.649707,-0.012396,-0.611701,-0.042452
0.669757,-0.067741,-0.639767,0.058743
0.689807,0.081654,-0.646219,0.191584
0.699817,0.234160,-0.640560,0.245443
0.719867,0.484987,-0.554198,0.329865
0.739917,0.486566,-0.415791,0.419186
0.749958,0.385515,-0.367618,0.463999
0.770008,0.112661,-0.373164,0.468560
0.790058,-0.099886,-0.500303,0.399005
0.800067,-0.111843,-0.567392,0.366609
0.820117,0.044709,-0.595526,0.336998
0.840198,0.319892,-0.506592,0.312542
