Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:00:07 PM,41,0,41
Apr 12, 2018,9:00:08 PM,40,40,40
Apr 12, 2018,9:00:08 PM,41,41,40
Apr 12, 2018,9:00:08 PM,45,45,41
Apr 12, 2018,9:00:08 PM,46,46,42
Apr 12, 2018,9:00:08 PM,48,48,43
Apr 12, 2018,9:00:09 PM,44,48,43
Apr 12, 2018,9:00:09 PM,42,48,43
Apr 12, 2018,9:00:09 PM,42,48,43
Apr 12, 2018,9:00:09 PM,41,48,43
Apr 12, 2018,9:00:09 PM,44,48,43
Apr 12, 2018,9:00:10 PM,48,48,43
Apr 12, 2018,9:00:10 PM,47,48,43
Apr 12, 2018,9:00:10 PM,48,48,44
Apr 12, 2018,9:00:10 PM,46,48,44
Apr 12, 2018,9:00:10 PM,45,48,44
Apr 12, 2018,9:00:11 PM,47,48,44
Apr 12, 2018,9:00:11 PM,46,48,44
Apr 12, 2018,9:00:11 PM,45,48,44
Apr 12, 2018,9:00:11 PM,46,48,44
Apr 12, 2018,9:00:11 PM,48,48,44
Apr 12, 2018,9:00:12 PM,48,48,44
Apr 12, 2018,9:00:12 PM,49,49,45
Apr 12, 2018,9:00:12 PM,52,52,45
Apr 12, 2018,9:00:12 PM,48,52,45
Apr 12, 2018,9:00:12 PM,45,52,45
Apr 12, 2018,9:00:13 PM,45,52,45
Apr 12, 2018,9:00:13 PM,45,52,45
Apr 12, 2018,9:00:13 PM,46,52,45
Apr 12, 2018,9:00:13 PM,46,52,45
Apr 12, 2018,9:00:13 PM,46,52,45
Apr 12, 2018,9:00:14 PM,45,52,45
Apr 12, 2018,9:00:14 PM,44,52,45
Apr 12, 2018,9:00:14 PM,45,52,45
Apr 12, 2018,9:00:14 PM,46,52,45
Apr 12, 2018,9:00:14 PM,45,52,45
Apr 12, 2018,9:00:15 PM,47,52,45
Apr 12, 2018,9:00:15 PM,50,52,45
Apr 12, 2018,9:00:15 PM,49,52,45
Apr 12, 2018,9:00:15 PM,49,52,45
Apr 12, 2018,9:00:15 PM,49,52,45
Apr 12, 2018,9:00:16 PM,48,52,45
Apr 12, 2018,9:00:16 PM,44,52,45
Apr 12, 2018,9:00:16 PM,42,52,45
Apr 12, 2018,9:00:16 PM,43,52,45
Apr 12, 2018,9:00:16 PM,45,52,45
Apr 12, 2018,9:00:17 PM,44,52,45
Apr 12, 2018,9:00:17 PM,43,52,45
Apr 12, 2018,9:00:17 PM,45,52,45
Apr 12, 2018,9:00:17 PM,47,52,45
Apr 12, 2018,9:00:17 PM,48,52,45
Apr 12, 2018,9:00:18 PM,44,52,45
Apr 12, 2018,9:00:18 PM,42,52,45
Apr 12, 2018,9:00:18 PM,43,52,45
Apr 12, 2018,9:00:18 PM,46,52,45
Apr 12, 2018,9:00:18 PM,46,52,45
Apr 12, 2018,9:00:19 PM,43,52,45
Apr 12, 2018,9:00:19 PM,43,52,45
Apr 12, 2018,9:00:19 PM,44,52,45
Apr 12, 2018,9:00:19 PM,47,52,45
Apr 12, 2018,9:00:19 PM,46,52,45
Apr 12, 2018,9:00:20 PM,45,52,45
Apr 12, 2018,9:00:20 PM,43,52,45
Apr 12, 2018,9:00:20 PM,43,52,45
Apr 12, 2018,9:00:20 PM,45,52,45
Apr 12, 2018,9:00:20 PM,45,52,45
Apr 12, 2018,9:00:21 PM,46,52,45
Apr 12, 2018,9:00:21 PM,46,52,45
Apr 12, 2018,9:00:21 PM,45,52,45
Apr 12, 2018,9:00:21 PM,46,52,45
Apr 12, 2018,9:00:21 PM,47,52,45
Apr 12, 2018,9:00:22 PM,46,52,45
Apr 12, 2018,9:00:22 PM,46,52,45
Apr 12, 2018,9:00:22 PM,46,52,45
Apr 12, 2018,9:00:22 PM,45,52,45
Apr 12, 2018,9:00:22 PM,45,52,45
Apr 12, 2018,9:00:23 PM,45,52,45
Apr 12, 2018,9:00:23 PM,46,52,45
Apr 12, 2018,9:00:23 PM,46,52,45
Apr 12, 2018,9:00:23 PM,46,52,45
Apr 12, 2018,9:00:23 PM,46,52,45
Apr 12, 2018,9:00:24 PM,46,52,45
Apr 12, 2018,9:00:24 PM,47,52,45
Apr 12, 2018,9:00:24 PM,46,52,45
Apr 12, 2018,9:00:24 PM,46,52,45
Apr 12, 2018,9:00:24 PM,47,52,45
Apr 12, 2018,9:00:25 PM,47,52,45
Apr 12, 2018,9:00:25 PM,49,52,45
Apr 12, 2018,9:00:25 PM,48,52,45
Apr 12, 2018,9:00:25 PM,47,52,45
Apr 12, 2018,9:00:25 PM,47,52,45
Apr 12, 2018,9:00:26 PM,47,52,45
Apr 12, 2018,9:00:26 PM,46,52,45
Apr 12, 2018,9:00:26 PM,47,52,45
Apr 12, 2018,9:00:26 PM,47,52,45
Apr 12, 2018,9:00:26 PM,47,52,45
Apr 12, 2018,9:00:27 PM,47,52,45
Apr 12, 2018,9:00:27 PM,46,52,45
Apr 12, 2018,9:00:27 PM,48,52,45
Apr 12, 2018,9:00:27 PM,48,52,45
Apr 12, 2018,9:00:27 PM,47,52,45
Apr 12, 2018,9:00:28 PM,46,52,45
Apr 12, 2018,9:00:28 PM,46,52,45
Apr 12, 2018,9:00:28 PM,46,52,45
Apr 12, 2018,9:00:28 PM,47,52,45
Apr 12, 2018,9:00:28 PM,48,52,45
Apr 12, 2018,9:00:29 PM,47,52,45
Apr 12, 2018,9:00:29 PM,46,52,45
Apr 12, 2018,9:00:29 PM,46,52,45
Apr 12, 2018,9:00:29 PM,46,52,45
Apr 12, 2018,9:00:29 PM,46,52,45
Apr 12, 2018,9:00:30 PM,46,52,45
Apr 12, 2018,9:00:30 PM,45,52,45
Apr 12, 2018,9:00:30 PM,46,52,45
Apr 12, 2018,9:00:30 PM,46,52,45
Apr 12, 2018,9:00:30 PM,45,52,45
Apr 12, 2018,9:00:31 PM,44,52,45
Apr 12, 2018,9:00:31 PM,46,52,45
Apr 12, 2018,9:00:31 PM,46,52,45
Apr 12, 2018,9:00:31 PM,45,52,45
Apr 12, 2018,9:00:31 PM,46,52,45
Apr 12, 2018,9:00:32 PM,45,52,45
Apr 12, 2018,9:00:32 PM,45,52,45
Apr 12, 2018,9:00:32 PM,45,52,45
Apr 12, 2018,9:00:32 PM,45,52,45
Apr 12, 2018,9:00:32 PM,45,52,45
Apr 12, 2018,9:00:33 PM,46,52,45
Apr 12, 2018,9:00:33 PM,46,52,45
Apr 12, 2018,9:00:33 PM,47,52,45
Apr 12, 2018,9:00:33 PM,46,52,45
Apr 12, 2018,9:00:33 PM,44,52,45
Apr 12, 2018,9:00:34 PM,44,52,45
Apr 12, 2018,9:00:34 PM,44,52,45
Apr 12, 2018,9:00:34 PM,44,52,45
Apr 12, 2018,9:00:34 PM,45,52,45
Apr 12, 2018,9:00:34 PM,44,52,45
Apr 12, 2018,9:00:35 PM,44,52,45
Apr 12, 2018,9:00:35 PM,43,52,45
Apr 12, 2018,9:00:35 PM,44,52,45
Apr 12, 2018,9:00:35 PM,45,52,45
Apr 12, 2018,9:00:35 PM,43,52,45
Apr 12, 2018,9:00:36 PM,43,52,45
Apr 12, 2018,9:00:36 PM,44,52,45
Apr 12, 2018,9:00:36 PM,44,52,45
Apr 12, 2018,9:00:36 PM,43,52,45
Apr 12, 2018,9:00:36 PM,43,52,45
Apr 12, 2018,9:00:37 PM,42,52,45
Apr 12, 2018,9:00:37 PM,42,52,45
Apr 12, 2018,9:00:37 PM,42,52,45
Apr 12, 2018,9:00:37 PM,43,52,45
Apr 12, 2018,9:00:37 PM,42,52,45
Apr 12, 2018,9:00:38 PM,42,52,45
Apr 12, 2018,9:00:38 PM,43,52,45
Apr 12, 2018,9:00:38 PM,42,52,45
Apr 12, 2018,9:00:38 PM,42,52,45
Apr 12, 2018,9:00:38 PM,44,52,45
Apr 12, 2018,9:00:39 PM,45,52,45
Apr 12, 2018,9:00:39 PM,46,52,45
Apr 12, 2018,9:00:39 PM,45,52,45
Apr 12, 2018,9:00:39 PM,44,52,45
Apr 12, 2018,9:00:39 PM,43,52,45
Apr 12, 2018,9:00:40 PM,45,52,45
Apr 12, 2018,9:00:40 PM,51,52,45
Apr 12, 2018,9:00:40 PM,54,54,45
Apr 12, 2018,9:00:40 PM,51,54,45
Apr 12, 2018,9:00:40 PM,44,54,45
Apr 12, 2018,9:00:41 PM,43,54,45
Apr 12, 2018,9:00:41 PM,46,54,45
Apr 12, 2018,9:00:41 PM,51,54,45
Apr 12, 2018,9:00:41 PM,52,54,45
Apr 12, 2018,9:00:41 PM,49,54,45
Apr 12, 2018,9:00:42 PM,48,54,45
Apr 12, 2018,9:00:42 PM,46,54,45
Apr 12, 2018,9:00:42 PM,43,54,45
Apr 12, 2018,9:00:42 PM,43,54,45
Apr 12, 2018,9:00:42 PM,43,54,45
Apr 12, 2018,9:00:43 PM,44,54,45
Apr 12, 2018,9:00:43 PM,44,54,45
Apr 12, 2018,9:00:43 PM,43,54,45
Apr 12, 2018,9:00:43 PM,44,54,45
Apr 12, 2018,9:00:43 PM,44,54,45
Apr 12, 2018,9:00:44 PM,43,54,45
Apr 12, 2018,9:00:44 PM,44,54,45
Apr 12, 2018,9:00:44 PM,44,54,45
Apr 12, 2018,9:00:44 PM,44,54,45
Apr 12, 2018,9:00:44 PM,44,54,45
Apr 12, 2018,9:00:45 PM,44,54,45
Apr 12, 2018,9:00:45 PM,45,54,45
Apr 12, 2018,9:00:45 PM,44,54,45
Apr 12, 2018,9:00:45 PM,43,54,45
Apr 12, 2018,9:00:45 PM,42,54,45
Apr 12, 2018,9:00:46 PM,43,54,45
Apr 12, 2018,9:00:46 PM,44,54,45
Apr 12, 2018,9:00:46 PM,43,54,45
Apr 12, 2018,9:00:46 PM,43,54,45
Apr 12, 2018,9:00:46 PM,44,54,45
Apr 12, 2018,9:00:47 PM,44,54,45
Apr 12, 2018,9:00:47 PM,45,54,45
Apr 12, 2018,9:00:47 PM,46,54,45
Apr 12, 2018,9:00:47 PM,46,54,45
Apr 12, 2018,9:00:47 PM,46,54,45
Apr 12, 2018,9:00:48 PM,46,54,45
Apr 12, 2018,9:00:48 PM,47,54,45
Apr 12, 2018,9:00:48 PM,46,54,45
Apr 12, 2018,9:00:48 PM,45,54,45
Apr 12, 2018,9:00:48 PM,45,54,45
Apr 12, 2018,9:00:49 PM,45,54,45
Apr 12, 2018,9:00:49 PM,44,54,45
Apr 12, 2018,9:00:49 PM,45,54,45
Apr 12, 2018,9:00:49 PM,44,54,45
Apr 12, 2018,9:00:49 PM,44,54,45
Apr 12, 2018,9:00:50 PM,44,54,45
Apr 12, 2018,9:00:50 PM,44,54,45
Apr 12, 2018,9:00:50 PM,45,54,45
Apr 12, 2018,9:00:50 PM,49,54,45
Apr 12, 2018,9:00:50 PM,50,54,45
Apr 12, 2018,9:00:51 PM,48,54,45
Apr 12, 2018,9:00:51 PM,51,54,45
Apr 12, 2018,9:00:51 PM,49,54,45
Apr 12, 2018,9:00:51 PM,48,54,45
Apr 12, 2018,9:00:51 PM,48,54,45
Apr 12, 2018,9:00:52 PM,48,54,45
Apr 12, 2018,9:00:52 PM,48,54,45
Apr 12, 2018,9:00:52 PM,48,54,45
Apr 12, 2018,9:00:52 PM,48,54,45
Apr 12, 2018,9:00:52 PM,49,54,45
Apr 12, 2018,9:00:53 PM,49,54,45
Apr 12, 2018,9:00:53 PM,48,54,45
Apr 12, 2018,9:00:53 PM,48,54,45
Apr 12, 2018,9:00:53 PM,48,54,45
Apr 12, 2018,9:00:53 PM,49,54,45
Apr 12, 2018,9:00:54 PM,48,54,45
Apr 12, 2018,9:00:54 PM,48,54,45
Apr 12, 2018,9:00:54 PM,48,54,45
Apr 12, 2018,9:00:54 PM,49,54,45
Apr 12, 2018,9:00:54 PM,48,54,45
Apr 12, 2018,9:00:55 PM,48,54,45
Apr 12, 2018,9:00:55 PM,47,54,45
Apr 12, 2018,9:00:55 PM,48,54,45
Apr 12, 2018,9:00:55 PM,48,54,45
Apr 12, 2018,9:00:55 PM,48,54,45
Apr 12, 2018,9:00:56 PM,47,54,45
Apr 12, 2018,9:00:56 PM,47,54,45
Apr 12, 2018,9:00:56 PM,48,54,45
Apr 12, 2018,9:00:56 PM,47,54,45
Apr 12, 2018,9:00:56 PM,47,54,45
Apr 12, 2018,9:00:57 PM,48,54,45
Apr 12, 2018,9:00:57 PM,47,54,45
Apr 12, 2018,9:00:57 PM,48,54,45
Apr 12, 2018,9:00:57 PM,48,54,45
Apr 12, 2018,9:00:57 PM,47,54,45
Apr 12, 2018,9:00:58 PM,47,54,45
Apr 12, 2018,9:00:58 PM,48,54,45
Apr 12, 2018,9:00:58 PM,47,54,45
Apr 12, 2018,9:00:58 PM,47,54,45
Apr 12, 2018,9:00:58 PM,48,54,45
Apr 12, 2018,9:00:59 PM,48,54,45
Apr 12, 2018,9:00:59 PM,48,54,45
Apr 12, 2018,9:00:59 PM,46,54,45
Apr 12, 2018,9:00:59 PM,46,54,45
Apr 12, 2018,9:00:59 PM,46,54,45
Apr 12, 2018,9:01:00 PM,46,54,45
Apr 12, 2018,9:01:00 PM,47,54,45
Apr 12, 2018,9:01:00 PM,46,54,45
Apr 12, 2018,9:01:00 PM,46,54,45
Apr 12, 2018,9:01:00 PM,46,54,45
Apr 12, 2018,9:01:01 PM,47,54,45
Apr 12, 2018,9:01:01 PM,47,54,45
Apr 12, 2018,9:01:01 PM,47,54,45
Apr 12, 2018,9:01:01 PM,47,54,45
Apr 12, 2018,9:01:01 PM,47,54,45
Apr 12, 2018,9:01:02 PM,47,54,45
Apr 12, 2018,9:01:02 PM,47,54,45
Apr 12, 2018,9:01:02 PM,46,54,45
Apr 12, 2018,9:01:02 PM,47,54,45
Apr 12, 2018,9:01:02 PM,47,54,45
Apr 12, 2018,9:01:03 PM,47,54,45
Apr 12, 2018,9:01:03 PM,46,54,45
Apr 12, 2018,9:01:03 PM,47,54,45
Apr 12, 2018,9:01:03 PM,46,54,45
Apr 12, 2018,9:01:03 PM,45,54,45
Apr 12, 2018,9:01:04 PM,45,54,45
Apr 12, 2018,9:01:04 PM,46,54,45
Apr 12, 2018,9:01:04 PM,46,54,45
Apr 12, 2018,9:01:04 PM,47,54,45
Apr 12, 2018,9:01:04 PM,48,54,45
Apr 12, 2018,9:01:05 PM,48,54,45
Apr 12, 2018,9:01:05 PM,47,54,45
Apr 12, 2018,9:01:05 PM,46,54,45
Apr 12, 2018,9:01:05 PM,46,54,45
Apr 12, 2018,9:01:05 PM,47,54,45
Apr 12, 2018,9:01:06 PM,48,54,45
Apr 12, 2018,9:01:06 PM,48,54,45
Apr 12, 2018,9:01:06 PM,47,54,45
Apr 12, 2018,9:01:06 PM,46,54,45
Apr 12, 2018,9:01:06 PM,47,54,45
Apr 12, 2018,9:01:07 PM,47,54,45
Apr 12, 2018,9:01:07 PM,47,54,45
Apr 12, 2018,9:01:07 PM,49,54,45
Apr 12, 2018,9:01:07 PM,49,54,45
Apr 12, 2018,9:01:07 PM,47,54,45
Apr 12, 2018,9:01:08 PM,47,54,45
Apr 12, 2018,9:01:08 PM,46,54,45
Apr 12, 2018,9:01:08 PM,45,54,45
Apr 12, 2018,9:01:08 PM,46,54,45
Apr 12, 2018,9:01:08 PM,51,54,45
Apr 12, 2018,9:01:09 PM,56,56,45
Apr 12, 2018,9:01:09 PM,56,56,45
Apr 12, 2018,9:01:09 PM,55,56,46
Apr 12, 2018,9:01:09 PM,53,56,46
Apr 12, 2018,9:01:09 PM,53,56,46
Apr 12, 2018,9:01:10 PM,53,56,46
Apr 12, 2018,9:01:10 PM,49,56,46
Apr 12, 2018,9:01:10 PM,45,56,46
Apr 12, 2018,9:01:10 PM,44,56,46
Apr 12, 2018,9:01:10 PM,46,56,46
Apr 12, 2018,9:01:11 PM,47,56,46
Apr 12, 2018,9:01:11 PM,50,56,46
Apr 12, 2018,9:01:11 PM,54,56,46
Apr 12, 2018,9:01:22 PM,55,56,46
