Timestamp,X,Y,Z
0.019,-0.54606444,0.791554,9.970467
0.039,-1.3112732,1.2478051,10.50695
0.06,-1.3112732,1.2478051,10.50695
0.08,0.4921765,1.9303857,8.959768
0.127,0.3161426,2.3052063,8.826844
0.15,-0.07903565,1.0741663,8.760982
0.171,0.0119750975,0.791554,9.472302
0.191,0.0119750975,0.791554,9.472302
0.212,0.0119750975,0.791554,9.472302
0.232,0.09101074,1.3495935,9.653126
0.253,0.025147704,1.5819104,8.856782
0.273,0.025147704,1.5819104,8.856782
0.294,-0.10897339,1.3304334,8.897497
0.314,-0.086220704,1.2837305,9.1130495
0.335,-0.122145995,1.4250367,9.356144
0.355,-0.122145995,1.4250367,9.356144
0.376,-0.122145995,1.4250367,9.356144
0.396,-0.122145995,1.4250367,9.356144
0.416,-0.13172607,1.3364209,9.108259
0.437,-0.017962646,1.5040723,8.952583
0.458,-0.017962646,1.5040723,8.952583
0.478,-0.17124389,1.5028747,9.529782
0.499,-0.17124389,1.5028747,9.529782
0.52,-0.183219,1.780697,9.293873
0.54,-0.24788453,1.6417859,9.250763
0.563,-0.24788453,1.6417859,9.250763
0.584,-0.24788453,1.6417859,9.250763
0.604,-0.008382568,1.663341,9.1621475
0.625,-0.008382568,1.663341,9.1621475
0.646,-0.008382568,1.663341,9.1621475
0.667,-0.008382568,1.592688,9.214838
0.687,-0.04790039,1.5196398,9.074729
0.708,-0.05628296,1.53401,9.141789
0.728,-0.05628296,1.53401,9.141789
0.749,-0.08981323,1.8776953,9.040001
0.769,-0.2562671,1.8561401,9.047186
0.79,-0.2562671,1.8561401,9.047186
0.81,-0.31734008,1.7208215,9.171727
0.83,-0.25985962,1.7244141,9.164542
0.851,-0.023950195,2.0573218,9.273516
0.871,-0.023950195,2.0573218,9.273516
0.892,-0.040715333,2.2752686,8.830437
0.912,-0.1484912,2.2728736,8.825647
0.933,-0.14250366,2.3507116,8.851993
0.953,-0.14250366,2.3507116,8.851993
0.974,-0.14250366,2.3507116,8.851993
0.994,-0.009580079,3.0931678,9.038804
1.015,-0.009580079,3.0931678,9.038804
1.035,0.032332763,3.5290613,8.648416
1.056,0.032332763,3.5290613,8.648416
1.076,0.032332763,3.5290613,8.648416
1.097,0.032332763,3.5290613,8.648416
1.118,0.0011975098,4.677473,8.623268
1.138,0.0011975098,4.677473,8.623268
1.159,-0.20836669,4.7301636,9.054371
1.179,0.010777588,5.1947975,9.22801
1.2,0.043110352,5.4414845,9.26154
1.22,0.043110352,5.4414845,9.26154
1.241,-0.1472937,5.7636147,8.735834
1.261,-0.16884887,5.5301,8.25683
1.281,-0.05508545,5.373226,8.138276
1.302,-0.05508545,5.373226,8.138276
1.322,0.08741821,5.0654664,8.668774
1.343,0.0035925293,4.7050157,8.989706
1.363,-0.09460327,4.436774,9.303453
1.384,-0.09460327,4.436774,9.303453
1.404,-0.14370117,4.543352,9.340576
1.425,-0.2335144,4.6092153,9.210048
1.445,-0.48499146,4.3864784,8.770561
1.466,-0.48499146,4.3864784,8.770561
1.486,-0.5113367,4.675078,8.32868
1.506,-0.48858398,4.60682,8.528665
1.527,-0.613125,4.557722,8.562195
1.548,-0.613125,4.557722,8.562195
1.568,-0.5053491,4.311035,8.82924
1.589,-0.5053491,4.311035,8.82924
1.609,-0.53289187,4.2343946,9.480685
1.63,-0.53289187,4.2343946,9.480685
1.65,-0.27901977,4.052373,9.157357
1.67,-0.23471192,3.9098694,9.099876
1.691,-0.0981958,3.6080968,8.8484
1.712,-0.0981958,3.6080968,8.8484
1.732,-0.0981958,3.6080968,8.8484
1.753,-0.07544312,3.735033,9.101074
1.774,-0.086220704,3.7278478,8.804091
1.795,-0.086220704,3.7278478,8.804091
1.816,-0.086220704,3.7278478,8.804091
1.836,-0.123343505,3.9362147,9.022038
1.856,-0.04430786,3.8931043,9.101074
1.878,-0.122145995,3.8990917,9.109457
1.9,-0.122145995,3.8990917,9.109457
1.92,-0.27901977,3.0728102,8.854387
1.94,-0.20836669,2.8740234,8.720266
1.961,-0.20836669,2.8740234,8.720266
1.982,-0.20836669,2.8740234,8.720266
2.002,-0.29219237,2.6680517,9.436377
2.023,-0.2203418,2.7171497,9.46871
2.044,-0.2203418,2.7171497,9.46871
2.064,-0.067060545,2.5051904,9.1849
2.085,-0.17603393,2.4069946,9.266331
2.105,-0.07304809,2.2884412,9.205257
2.126,-0.07304809,2.2884412,9.205257
2.146,0.04430786,1.7495618,9.1693325
2.167,0.062270507,1.5843054,9.125025
2.189,0.51013917,1.2502002,9.19448
2.209,0.51013917,1.2502002,9.19448
2.23,0.59755737,1.104104,9.471105
2.25,0.5652246,0.91010743,9.333391
2.27,0.6813831,0.9352551,9.059161
2.291,0.6813831,0.9352551,9.059161
2.311,0.89334226,0.9065149,9.237591
2.332,0.9735754,0.88735473,9.182505
2.353,0.9304651,0.8753796,9.538165
2.373,0.9304651,0.8753796,9.538165
2.394,0.9304651,0.8753796,9.538165
2.414,0.671803,0.82268924,9.025631
2.435,0.73407346,0.9663904,9.115444
2.455,0.73407346,0.9663904,9.115444
2.476,0.8849597,1.5615528,9.357342
2.496,0.70772827,1.4034815,9.413624
2.517,0.5724097,1.2813355,9.399254
2.537,0.5724097,1.2813355,9.399254
2.558,0.5137317,0.81191164,8.865165
2.579,0.6753955,0.88855225,9.019644
2.599,0.5903723,0.82867676,9.461525
2.62,0.5903723,0.82867676,9.461525
2.64,0.732876,1.0166858,9.581276
2.661,0.78915894,0.984353,9.577683
2.681,0.9951306,0.94842774,9.211246
2.702,1.1064991,0.8981323,9.138197
2.722,1.0657837,0.5065466,9.335786
2.742,0.8741821,0.40236327,9.313033
2.763,0.8741821,0.40236327,9.313033
2.789,1.0945239,0.4047583,9.166937
2.809,1.0945239,0.4047583,9.166937
2.83,0.9951306,0.6322852,9.50224
2.85,0.9951306,0.6322852,9.50224
2.871,0.9951306,0.6322852,9.50224
2.891,0.9304651,0.7711963,9.069939
2.912,0.64186525,0.6011499,9.239985
2.932,0.64186525,0.6011499,9.239985
2.953,0.8214917,0.52570677,9.644744
2.973,0.8861572,0.61552,9.560918
2.994,1.0310559,0.65264285,9.596844
3.014,1.0310559,0.65264285,9.596844
3.035,0.8945398,0.4394861,9.605226
3.056,1.0921289,0.48379394,9.22801
3.076,1.1867322,0.50774413,9.1621475
3.096,1.1867322,0.50774413,9.1621475
3.117,1.0585986,0.34009278,9.19448
3.139,1.1053015,0.49696654,9.371712
3.159,1.1687695,0.5484595,9.55014
3.18,1.1687695,0.5484595,9.55014
3.202,1.2885205,0.5053491,9.566906
3.222,1.3759388,0.41433838,9.448352
3.243,1.4537768,0.37003052,9.410031
3.263,1.4537768,0.37003052,9.410031
3.284,1.597478,0.19758911,9.455537
3.304,1.6848962,0.23950195,9.313033
3.325,1.6848962,0.23950195,9.313033
3.345,1.9782861,0.3197351,9.026829
3.366,1.9782861,0.3197351,9.026829
3.386,1.705254,0.11855347,9.163344
3.407,1.705254,0.11855347,9.163344
3.432,1.705254,0.11855347,9.163344
3.454,1.705254,0.11855347,9.163344
3.489,0.85142946,0.2203418,9.21364
3.51,0.85142946,0.2203418,9.21364
3.53,0.85142946,0.2203418,9.21364
3.551,0.5556445,0.72808594,9.255553
3.571,0.8693921,1.4058765,9.347761
3.592,0.69216067,1.4022839,9.399254
3.612,0.69216067,1.4022839,9.399254
3.632,0.8190967,1.526825,9.307046
3.653,0.75562865,1.607058,9.460327
3.673,0.87178713,1.7471668,9.402846
3.694,0.87178713,1.7471668,9.402846
3.714,1.3807287,2.7051744,9.499845
3.735,1.289718,2.6213489,9.295071
3.755,1.4441968,2.5878186,9.164542
3.776,1.4441968,2.5878186,9.164542
3.797,1.6357983,2.5554857,8.756191
3.817,1.6034656,2.7351122,8.816067
3.838,1.6034656,2.7351122,8.816067
3.86,1.6369958,2.1088147,9.110654
3.881,1.6369958,2.1088147,9.110654
3.901,1.6369958,2.1088147,9.110654
3.922,1.6369958,2.1088147,9.110654
3.943,1.6369958,2.1088147,9.110654
3.964,2.1243823,2.3363416,9.1765175
3.985,2.0070264,2.2656884,9.245973
4.005,2.0070264,2.2656884,9.245973
4.026,2.0070264,2.2656884,9.245973
4.049,2.0070264,2.2656884,9.245973
4.069,2.205813,2.323169,8.884325
4.09,2.205813,2.323169,8.884325
4.111,2.2764661,2.342329,8.937016
4.132,2.3770568,2.2249732,9.010063
4.155,2.3770568,2.2249732,9.010063
4.176,2.3770568,2.2249732,9.010063
4.197,2.3770568,2.2249732,9.010063
4.219,2.017804,1.7627344,9.350156
4.239,2.1411474,2.1878502,8.976533
4.26,2.1411474,2.1878502,8.976533
4.28,2.2405407,2.654879,9.433982
4.301,2.1639001,2.618954,9.496252
4.321,2.3327491,2.5279431,9.267529
4.342,2.3327491,2.5279431,9.267529
4.362,2.379452,1.9519409
4.383,2.3555017,1.8597326,8.745414
4.403,2.3267615,1.6369958,8.560997
4.424,2.3267615,1.6369958,8.560997
4.444,2.3267615,1.6369958,8.560997
4.465,2.4956102,1.9076331,9.11784
4.485,2.3950195,2.0633094,9.413624
4.506,2.2632935,1.9866687,9.807605
4.526,2.2632935,1.9866687,9.807605
4.547,2.3650818,2.1950355,9.8028145
4.57,2.3195765,1.4932947,9.241183
4.591,2.3195765,1.4932947,9.241183
4.611,2.3195765,1.4932947,9.241183
4.632,2.3195765,1.4932947,9.241183
4.652,3.2105236,1.2981006,9.544153
4.673,3.2739916,0.54726195,10.17045
4.693,3.2189062,0.42751098,9.326206
4.714,2.4788451,0.37362304,9.983639
4.734,2.4788451,0.37362304,9.983639
4.755,2.4788451,0.37362304,9.983639
4.775,2.0070264,0.9520203,9.313033
4.795,1.8190173,1.5471826,8.307125
4.816,1.8800904,1.8741028,8.54064
4.837,1.6477734,2.0190015,8.590935
4.858,1.6477734,2.0190015,8.590935
4.878,-0.27662477,1.6693286,10.754835
4.899,-0.21674927,1.6741186,10.623109
4.919,1.8776953,2.5099804,8.65081
4.94,2.4716601,2.703977,8.145461
4.977,3.6009119,2.6524842,8.54064
4.998,3.998485,2.9303064,8.847202
5.018,3.998485,2.9303064,8.847202
