time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.015124,0.005269,-0.021371,-0.001155
0.025134,-0.086503,-0.061649,-0.002667
0.025134,-0.086503,-0.061649,-0.002667
0.035174,0.017025,-0.011818,0.003196
0.045184,-0.028863,-0.033027,0.002969
0.055224,0.007410,-0.020330,0.003129
0.065234,-0.026681,-0.013802,0.000929
0.075274,0.009534,-0.022468,0.002056
0.085284,-0.016055,-0.027739,0.005165
0.095324,-0.005386,-0.020268,-0.001179
0.105365,-0.018203,-0.025526,-0.009785
0.125415,-0.008594,-0.024535,-0.000140
0.125415,-0.008594,-0.024535,-0.000140
0.135424,-0.007518,-0.021339,0.000946
0.145465,-0.007527,-0.022387,-0.003331
0.155474,-0.003258,-0.020265,-0.003310
0.165515,-0.008587,-0.020248,-0.003324
0.175555,-0.009650,-0.024562,0.006266
0.185565,-0.006450,-0.021348,0.002018
0.195605,-0.010714,-0.020256,-0.000125
0.205615,-0.002180,-0.017075,-0.001155
0.225665,-0.011779,-0.023487,0.006266
0.235705,-0.004310,-0.017073,-0.000093
0.235705,-0.004310,-0.017073,-0.000093
0.245745,-0.010708,-0.019198,0.002016
0.255755,-0.002174,-0.016017,0.000986
0.265795,-0.010700,-0.018145,0.005226
0.275805,-0.016028,-0.015977,0.002017
0.285846,-0.006427,-0.012804,0.002058
0.295855,-0.003255,-0.020275,-0.001173
0.305896,0.004231,-0.010683,-0.002175
0.315905,-0.018180,-0.023446,0.001975
0.325946,-0.014962,-0.017059,0.004151
0.335986,-0.008554,-0.010657,0.000994
0.345996,-0.008581,-0.017034,-0.005445
0.356036,0.005277,-0.020318,0.002055
0.366046,-0.004308,-0.018156,0.003107
0.376086,-0.012835,-0.017050,0.000952
0.386096,-0.012840,-0.017035,-0.002253
0.396136,-0.001120,-0.020292,0.000969
0.406176,-0.005386,-0.022424,0.003084
0.416186,-0.008579,-0.020273,0.002017
0.426226,-0.013912,-0.021319,0.000929
0.436236,-0.006450,-0.020270,-0.000114
0.446276,-0.002190,-0.022430,0.002024
0.456286,-0.008591,-0.024545,0.001997
0.466326,-0.002186,-0.020289,0.000966
0.476367,-0.013917,-0.023460,0.001987
0.486377,-0.003258,-0.021343,-0.001178
0.496417,-0.010716,-0.023480,0.004132
0.506427,-0.008585,-0.022409,0.002007
0.516467,-0.006453,-0.021338,-0.000119
0.526477,-0.008597,-0.025603,-0.000145
0.536517,-0.000059,-0.021359,-0.000101
0.546527,-0.013924,-0.025590,0.000909
0.556567,-0.002181,-0.019226,0.002039
0.566607,-0.010725,-0.024528,-0.000146
0.576617,-0.002193,-0.022420,-0.000112
0.586657,-0.003259,-0.023494,0.002016
0.596667,-0.011785,-0.022388,-0.000138
0.606707,-0.004308,-0.017078,0.000976
0.616717,-0.012854,-0.023453,-0.000146
0.626757,-0.003255,-0.020275,-0.001173
0.636798,-0.010715,-0.021329,0.000938
0.646807,-0.008585,-0.021331,-0.000125
0.656848,-0.004316,-0.019209,-0.000103
0.666857,-0.008584,-0.020258,-0.001188
0.676898,-0.009648,-0.020259,-0.000123
0.686908,-0.007522,-0.022402,-0.000127
0.696948,-0.002183,-0.018143,-0.001160
0.706988,-0.010717,-0.021324,-0.000130
0.716998,-0.002186,-0.019211,-0.001165
0.727038,-0.010727,-0.025601,0.000917
0.737048,-0.004316,-0.019209,-0.000103
0.747088,-0.006453,-0.021338,-0.000119
0.757098,-0.007527,-0.023465,-0.001200
0.767138,-0.002190,-0.021352,-0.000107
0.777148,-0.010728,-0.025596,-0.000151
0.787188,-0.005380,-0.019210,0.000962
0.797229,-0.009660,-0.023453,-0.002274
0.807238,-0.008585,-0.021331,-0.000125
0.817279,-0.007518,-0.021339,0.000946
0.827288,-0.006453,-0.021338,-0.000119
0.837329,-0.007516,-0.020266,-0.000117
0.847338,-0.009644,-0.018119,-0.001181
0.857379,-0.002189,-0.021357,0.000961
0.867419,-0.009654,-0.022395,-0.000133
0.877429,-0.010715,-0.020251,-0.001194
0.897492,-0.006457,-0.021328,-0.002255
0.897492,-0.006457,-0.021328,-0.002255
0.907532,-0.006449,-0.020275,0.000954
0.917542,-0.009655,-0.022390,-0.001201
0.927582,-0.005386,-0.020268,-0.001179
0.937592,-0.011784,-0.021315,-0.001202
0.947632,-0.001121,-0.020287,-0.000099
0.957672,-0.010728,-0.025596,-0.000151
0.967682,-0.005385,-0.020273,-0.000111
0.977723,-0.006448,-0.019202,-0.000109
0.987732,-0.005391,-0.022409,-0.000121
0.997773,-0.006453,-0.021338,-0.000119
0.997773,-0.006453,-0.021338,-0.000119
1.017823,-0.004323,-0.021340,-0.001181
1.027863,-0.006461,-0.023469,-0.001197
1.037873,-0.001131,-0.022413,-0.002246
1.047913,-0.007522,-0.022402,-0.000127
1.057923,-0.010720,-0.021314,-0.002267
1.067963,-0.005385,-0.019195,-0.002242
1.077973,-0.009661,-0.023448,-0.003342
1.088013,-0.003253,-0.019202,-0.002236
1.098053,-0.011794,-0.024514,-0.002285
1.108063,-0.000051,-0.018150,-0.001154
1.118103,-0.013920,-0.022371,-0.002281
1.128113,-0.005387,-0.019190,-0.003310
1.138153,-0.013917,-0.022381,-0.000144
1.148163,-0.007530,-0.023455,-0.003336
1.158203,-0.008587,-0.020248,-0.003324
1.168213,-0.009656,-0.021312,-0.003332
1.178254,-0.005389,-0.020258,-0.003315
1.188294,-0.009661,-0.024526,-0.001211
1.198304,-0.007519,-0.020256,-0.002253
1.208344,-0.009651,-0.019171,-0.004390
1.218354,-0.007519,-0.020256,-0.002253
1.228394,-0.006455,-0.021333,-0.001187
1.238404,-0.008591,-0.022389,-0.002266
1.248444,-0.006446,-0.018129,-0.001172
1.258484,-0.009663,-0.024521,-0.002279
1.268494,-0.001123,-0.019204,-0.003299
1.278534,-0.007527,-0.023465,-0.001200
1.288544,-0.009652,-0.021322,-0.001196
1.298584,-0.003252,-0.018129,-0.003299
1.308594,-0.011791,-0.023446,-0.002280
1.318634,-0.005388,-0.020263,-0.002247
1.328675,-0.011788,-0.022378,-0.002275
