Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:33:15 PM,46,0,46
Apr 12, 2018,9:33:15 PM,48,48,47
Apr 12, 2018,9:33:15 PM,48,48,47
Apr 12, 2018,9:33:15 PM,49,49,47
Apr 12, 2018,9:33:16 PM,59,59,50
Apr 12, 2018,9:33:16 PM,73,73,53
Apr 12, 2018,9:33:16 PM,77,77,57
Apr 12, 2018,9:33:16 PM,78,78,59
Apr 12, 2018,9:33:16 PM,94,94,63
Apr 12, 2018,9:33:17 PM,90,94,66
Apr 12, 2018,9:33:17 PM,74,94,66
Apr 12, 2018,9:33:17 PM,73,94,67
Apr 12, 2018,9:33:17 PM,75,94,68
Apr 12, 2018,9:33:17 PM,78,94,68
Apr 12, 2018,9:33:18 PM,88,94,70
Apr 12, 2018,9:33:18 PM,83,94,70
Apr 12, 2018,9:33:18 PM,83,94,71
Apr 12, 2018,9:33:18 PM,102,102,73
Apr 12, 2018,9:33:18 PM,96,102,74
Apr 12, 2018,9:33:19 PM,70,102,74
Apr 12, 2018,9:33:19 PM,64,102,73
Apr 12, 2018,9:33:19 PM,63,102,73
Apr 12, 2018,9:33:19 PM,59,102,72
Apr 12, 2018,9:33:19 PM,56,102,71
Apr 12, 2018,9:33:20 PM,60,102,71
Apr 12, 2018,9:33:20 PM,83,102,71
Apr 12, 2018,9:33:20 PM,105,105,73
Apr 12, 2018,9:33:20 PM,105,105,74
Apr 12, 2018,9:33:20 PM,108,108,75
Apr 12, 2018,9:33:21 PM,111,111,76
Apr 12, 2018,9:33:21 PM,99,111,77
Apr 12, 2018,9:33:21 PM,73,111,77
Apr 12, 2018,9:33:21 PM,53,111,76
Apr 12, 2018,9:33:21 PM,51,111,75
Apr 12, 2018,9:33:22 PM,51,111,74
Apr 12, 2018,9:33:22 PM,62,111,74
Apr 12, 2018,9:33:22 PM,88,111,75
Apr 12, 2018,9:33:22 PM,90,111,75
Apr 12, 2018,9:33:22 PM,84,111,75
Apr 12, 2018,9:33:23 PM,102,111,76
Apr 12, 2018,9:33:23 PM,99,111,76
Apr 12, 2018,9:33:23 PM,74,111,76
Apr 12, 2018,9:33:23 PM,71,111,76
Apr 12, 2018,9:33:23 PM,78,111,76
Apr 12, 2018,9:33:24 PM,77,111,76
Apr 12, 2018,9:33:24 PM,96,111,77
Apr 12, 2018,9:33:24 PM,92,111,77
Apr 12, 2018,9:33:24 PM,63,111,77
Apr 12, 2018,9:33:24 PM,52,111,76
Apr 12, 2018,9:33:25 PM,53,111,76
Apr 12, 2018,9:33:25 PM,70,111,76
Apr 12, 2018,9:33:25 PM,94,111,76
Apr 12, 2018,9:33:25 PM,96,111,76
Apr 12, 2018,9:33:25 PM,96,111,77
Apr 12, 2018,9:33:26 PM,96,111,77
Apr 12, 2018,9:33:26 PM,96,111,77
Apr 12, 2018,9:33:26 PM,81,111,77
Apr 12, 2018,9:33:26 PM,81,111,77
Apr 12, 2018,9:33:26 PM,88,111,78
Apr 12, 2018,9:33:27 PM,83,111,78
Apr 12, 2018,9:33:27 PM,88,111,78
Apr 12, 2018,9:33:27 PM,92,111,78
Apr 12, 2018,9:33:27 PM,105,111,78
Apr 12, 2018,9:33:27 PM,79,111,78
Apr 12, 2018,9:33:28 PM,64,111,78
Apr 12, 2018,9:33:28 PM,63,111,78
Apr 12, 2018,9:33:28 PM,63,111,78
Apr 12, 2018,9:33:28 PM,70,111,78
Apr 12, 2018,9:33:28 PM,88,111,78
Apr 12, 2018,9:33:29 PM,88,111,78
Apr 12, 2018,9:33:29 PM,92,111,78
Apr 12, 2018,9:33:29 PM,90,111,78
Apr 12, 2018,9:33:29 PM,83,111,78
Apr 12, 2018,9:33:29 PM,63,111,78
Apr 12, 2018,9:33:30 PM,56,111,78
Apr 12, 2018,9:33:30 PM,57,111,78
Apr 12, 2018,9:33:30 PM,63,111,77
Apr 12, 2018,9:33:30 PM,65,111,77
Apr 12, 2018,9:33:30 PM,65,111,77
Apr 12, 2018,9:33:31 PM,65,111,77
Apr 12, 2018,9:33:31 PM,65,111,77
Apr 12, 2018,9:33:31 PM,65,111,77
Apr 12, 2018,9:33:31 PM,65,111,76
Apr 12, 2018,9:33:31 PM,65,111,76
Apr 12, 2018,9:33:32 PM,65,111,76
Apr 12, 2018,9:33:32 PM,65,111,76
Apr 12, 2018,9:33:32 PM,65,111,76
Apr 12, 2018,9:33:32 PM,65,111,76
Apr 12, 2018,9:33:32 PM,65,111,76
Apr 12, 2018,9:33:33 PM,65,111,75
Apr 12, 2018,9:33:33 PM,65,111,75
Apr 12, 2018,9:33:33 PM,65,111,75
Apr 12, 2018,9:33:33 PM,65,111,75
Apr 12, 2018,9:33:33 PM,65,111,75
Apr 12, 2018,9:33:34 PM,65,111,75
Apr 12, 2018,9:33:34 PM,105,111,75
