Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:55:12 PM,41,0,41
Apr 12, 2018,8:55:12 PM,41,41,41
Apr 12, 2018,8:55:12 PM,42,42,41
Apr 12, 2018,8:55:12 PM,42,42,41
Apr 12, 2018,8:55:13 PM,44,44,42
Apr 12, 2018,8:55:13 PM,50,50,43
Apr 12, 2018,8:55:13 PM,59,59,45
Apr 12, 2018,8:55:13 PM,59,59,47
Apr 12, 2018,8:55:13 PM,57,59,48
Apr 12, 2018,8:55:14 PM,53,59,48
Apr 12, 2018,8:55:14 PM,47,59,48
Apr 12, 2018,8:55:14 PM,46,59,48
Apr 12, 2018,8:55:14 PM,45,59,48
Apr 12, 2018,8:55:14 PM,45,59,47
Apr 12, 2018,8:55:15 PM,45,59,47
Apr 12, 2018,8:55:15 PM,46,59,47
Apr 12, 2018,8:55:15 PM,46,59,47
Apr 12, 2018,8:55:15 PM,46,59,47
Apr 12, 2018,8:55:15 PM,46,59,47
Apr 12, 2018,8:55:16 PM,47,59,47
Apr 12, 2018,8:55:16 PM,48,59,47
Apr 12, 2018,8:55:16 PM,48,59,47
Apr 12, 2018,8:55:16 PM,54,59,47
Apr 12, 2018,8:55:16 PM,55,59,48
Apr 12, 2018,8:55:17 PM,53,59,48
Apr 12, 2018,8:55:17 PM,53,59,48
Apr 12, 2018,8:55:17 PM,52,59,48
Apr 12, 2018,8:55:17 PM,51,59,48
Apr 12, 2018,8:55:17 PM,47,59,48
Apr 12, 2018,8:55:18 PM,48,59,48
Apr 12, 2018,8:55:18 PM,50,59,48
Apr 12, 2018,8:55:18 PM,48,59,48
Apr 12, 2018,8:55:18 PM,48,59,48
Apr 12, 2018,8:55:18 PM,49,59,48
Apr 12, 2018,8:55:19 PM,51,59,48
Apr 12, 2018,8:55:19 PM,53,59,48
Apr 12, 2018,8:55:19 PM,53,59,48
Apr 12, 2018,8:55:19 PM,52,59,48
Apr 12, 2018,8:55:19 PM,51,59,48
Apr 12, 2018,8:55:20 PM,52,59,49
Apr 12, 2018,8:55:20 PM,52,59,49
Apr 12, 2018,8:55:20 PM,52,59,49
Apr 12, 2018,8:55:20 PM,50,59,49
Apr 12, 2018,8:55:20 PM,49,59,49
Apr 12, 2018,8:55:21 PM,53,59,49
Apr 12, 2018,8:55:21 PM,56,59,49
Apr 12, 2018,8:55:21 PM,55,59,49
Apr 12, 2018,8:55:21 PM,55,59,49
Apr 12, 2018,8:55:21 PM,53,59,49
Apr 12, 2018,8:55:22 PM,50,59,49
Apr 12, 2018,8:55:22 PM,48,59,49
Apr 12, 2018,8:55:22 PM,46,59,49
Apr 12, 2018,8:55:22 PM,46,59,49
Apr 12, 2018,8:55:22 PM,52,59,49
Apr 12, 2018,8:55:23 PM,55,59,49
Apr 12, 2018,8:55:23 PM,53,59,49
Apr 12, 2018,8:55:23 PM,50,59,49
