Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:16:24 PM,49,53,46
Apr 12, 2018,9:16:25 PM,50,53,46
Apr 12, 2018,9:16:25 PM,51,53,46
Apr 12, 2018,9:16:25 PM,51,53,46
Apr 12, 2018,9:16:25 PM,50,53,46
Apr 12, 2018,9:16:25 PM,53,53,46
Apr 12, 2018,9:16:26 PM,56,56,46
Apr 12, 2018,9:16:26 PM,50,56,46
Apr 12, 2018,9:16:26 PM,48,56,46
Apr 12, 2018,9:16:26 PM,49,56,46
Apr 12, 2018,9:16:26 PM,49,56,46
Apr 12, 2018,9:16:27 PM,52,56,46
Apr 12, 2018,9:16:27 PM,48,56,46
Apr 12, 2018,9:16:27 PM,47,56,46
Apr 12, 2018,9:16:27 PM,49,56,46
Apr 12, 2018,9:16:27 PM,51,56,46
Apr 12, 2018,9:16:28 PM,49,56,46
Apr 12, 2018,9:16:28 PM,49,56,46
Apr 12, 2018,9:16:28 PM,54,56,46
Apr 12, 2018,9:16:28 PM,57,57,46
Apr 12, 2018,9:16:28 PM,61,61,46
Apr 12, 2018,9:16:29 PM,55,61,46
Apr 12, 2018,9:16:29 PM,52,61,46
Apr 12, 2018,9:16:29 PM,48,61,47
Apr 12, 2018,9:16:29 PM,48,61,47
Apr 12, 2018,9:16:29 PM,47,61,47
Apr 12, 2018,9:16:30 PM,45,61,46
Apr 12, 2018,9:16:30 PM,47,61,46
Apr 12, 2018,9:16:30 PM,55,61,47
Apr 12, 2018,9:16:30 PM,50,61,47
Apr 12, 2018,9:16:30 PM,47,61,47
Apr 12, 2018,9:16:31 PM,51,61,47
Apr 12, 2018,9:16:31 PM,51,61,47
Apr 12, 2018,9:16:31 PM,48,61,47
Apr 12, 2018,9:16:31 PM,47,61,47
Apr 12, 2018,9:16:31 PM,49,61,47
Apr 12, 2018,9:16:32 PM,52,61,47
Apr 12, 2018,9:16:32 PM,50,61,47
Apr 12, 2018,9:16:32 PM,52,61,47
Apr 12, 2018,9:16:32 PM,49,61,47
Apr 12, 2018,9:16:32 PM,44,61,47
Apr 12, 2018,9:16:33 PM,44,61,47
Apr 12, 2018,9:16:33 PM,45,61,47
Apr 12, 2018,9:16:33 PM,51,61,47
Apr 12, 2018,9:16:33 PM,62,62,47
Apr 12, 2018,9:16:33 PM,56,62,47
Apr 12, 2018,9:16:34 PM,52,62,47
Apr 12, 2018,9:16:34 PM,50,62,47
Apr 12, 2018,9:16:34 PM,46,62,47
Apr 12, 2018,9:16:34 PM,43,62,47
Apr 12, 2018,9:16:34 PM,41,62,47
Apr 12, 2018,9:16:35 PM,42,62,47
Apr 12, 2018,9:16:35 PM,43,62,47
Apr 12, 2018,9:16:35 PM,44,62,47
Apr 12, 2018,9:16:35 PM,43,62,47
Apr 12, 2018,9:16:35 PM,43,62,47
Apr 12, 2018,9:16:36 PM,45,62,47
Apr 12, 2018,9:16:36 PM,46,62,47
Apr 12, 2018,9:16:36 PM,46,62,47
Apr 12, 2018,9:16:36 PM,46,62,47
Apr 12, 2018,9:16:36 PM,46,62,47
Apr 12, 2018,9:16:37 PM,47,62,47
Apr 12, 2018,9:16:37 PM,47,62,47
Apr 12, 2018,9:16:37 PM,46,62,47
Apr 12, 2018,9:16:37 PM,44,62,47
Apr 12, 2018,9:16:37 PM,45,62,47
Apr 12, 2018,9:16:38 PM,45,62,47
Apr 12, 2018,9:16:38 PM,45,62,47
Apr 12, 2018,9:16:38 PM,45,62,47
Apr 12, 2018,9:16:38 PM,44,62,47
Apr 12, 2018,9:16:38 PM,44,62,47
Apr 12, 2018,9:16:39 PM,46,62,47
Apr 12, 2018,9:16:39 PM,46,62,47
Apr 12, 2018,9:16:39 PM,48,62,47
Apr 12, 2018,9:16:39 PM,56,62,47
Apr 12, 2018,9:16:39 PM,57,62,47
Apr 12, 2018,9:16:40 PM,49,62,47
Apr 12, 2018,9:16:40 PM,45,62,47
