Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:21:02 PM,44,0,44
Apr 12, 2018,8:21:02 PM,44,44,44
Apr 12, 2018,8:21:02 PM,45,45,44
Apr 12, 2018,8:21:03 PM,44,45,44
Apr 12, 2018,8:21:03 PM,43,45,44
Apr 12, 2018,8:21:03 PM,44,45,44
Apr 12, 2018,8:21:03 PM,45,45,44
Apr 12, 2018,8:21:03 PM,46,46,44
Apr 12, 2018,8:21:04 PM,47,47,44
Apr 12, 2018,8:21:04 PM,49,49,45
Apr 12, 2018,8:21:04 PM,47,49,45
Apr 12, 2018,8:21:04 PM,46,49,45
Apr 12, 2018,8:21:04 PM,48,49,45
Apr 12, 2018,8:21:05 PM,51,51,45
Apr 12, 2018,8:21:05 PM,50,51,46
Apr 12, 2018,8:21:05 PM,51,51,46
Apr 12, 2018,8:21:05 PM,49,51,46
Apr 12, 2018,8:21:05 PM,46,51,46
Apr 12, 2018,8:21:06 PM,46,51,46
Apr 12, 2018,8:21:06 PM,46,51,46
Apr 12, 2018,8:21:06 PM,47,51,46
Apr 12, 2018,8:21:06 PM,47,51,46
Apr 12, 2018,8:21:06 PM,47,51,46
Apr 12, 2018,8:21:07 PM,47,51,46
Apr 12, 2018,8:21:07 PM,47,51,46
Apr 12, 2018,8:21:07 PM,47,51,46
Apr 12, 2018,8:21:07 PM,48,51,46
Apr 12, 2018,8:21:07 PM,49,51,46
Apr 12, 2018,8:21:08 PM,49,51,46
Apr 12, 2018,8:21:08 PM,49,51,46
Apr 12, 2018,8:21:08 PM,49,51,47
Apr 12, 2018,8:21:08 PM,49,51,47
Apr 12, 2018,8:21:08 PM,48,51,47
Apr 12, 2018,8:21:09 PM,48,51,47
Apr 12, 2018,8:21:09 PM,48,51,47
Apr 12, 2018,8:21:09 PM,48,51,47
Apr 12, 2018,8:21:09 PM,48,51,47
Apr 12, 2018,8:21:09 PM,47,51,47
Apr 12, 2018,8:21:10 PM,48,51,47
Apr 12, 2018,8:21:10 PM,48,51,47
Apr 12, 2018,8:21:10 PM,47,51,47
Apr 12, 2018,8:21:10 PM,47,51,47
Apr 12, 2018,8:21:10 PM,47,51,47
Apr 12, 2018,8:21:11 PM,48,51,47
Apr 12, 2018,8:21:11 PM,48,51,47
Apr 12, 2018,8:21:11 PM,47,51,47
Apr 12, 2018,8:21:11 PM,47,51,47
Apr 12, 2018,8:21:11 PM,47,51,47
Apr 12, 2018,8:21:12 PM,46,51,47
Apr 12, 2018,8:21:12 PM,47,51,47
Apr 12, 2018,8:21:12 PM,47,51,47
Apr 12, 2018,8:21:12 PM,48,51,47
Apr 12, 2018,8:21:12 PM,46,51,47
Apr 12, 2018,8:21:13 PM,47,51,47
Apr 12, 2018,8:21:13 PM,47,51,47
Apr 12, 2018,8:21:13 PM,47,51,47
Apr 12, 2018,8:21:13 PM,46,51,47
Apr 12, 2018,8:21:13 PM,47,51,47
Apr 12, 2018,8:21:14 PM,47,51,47
Apr 12, 2018,8:21:14 PM,47,51,47
Apr 12, 2018,8:21:14 PM,47,51,47
Apr 12, 2018,8:21:14 PM,47,51,47
Apr 12, 2018,8:21:14 PM,47,51,47
Apr 12, 2018,8:21:15 PM,47,51,47
Apr 12, 2018,8:21:15 PM,47,51,47
Apr 12, 2018,8:21:15 PM,47,51,47
Apr 12, 2018,8:21:15 PM,47,51,47
Apr 12, 2018,8:21:15 PM,47,51,47
Apr 12, 2018,8:21:16 PM,47,51,47
Apr 12, 2018,8:21:16 PM,46,51,47
Apr 12, 2018,8:21:16 PM,47,51,47
Apr 12, 2018,8:21:16 PM,48,51,47
Apr 12, 2018,8:21:16 PM,48,51,47
Apr 12, 2018,8:21:17 PM,47,51,47
Apr 12, 2018,8:21:17 PM,47,51,47
Apr 12, 2018,8:21:17 PM,47,51,47
Apr 12, 2018,8:21:17 PM,47,51,47
Apr 12, 2018,8:21:17 PM,47,51,47
Apr 12, 2018,8:21:18 PM,46,51,47
Apr 12, 2018,8:21:18 PM,46,51,47
Apr 12, 2018,8:21:18 PM,46,51,47
Apr 12, 2018,8:21:18 PM,46,51,47
Apr 12, 2018,8:21:18 PM,46,51,47
Apr 12, 2018,8:21:19 PM,46,51,47
Apr 12, 2018,8:21:19 PM,45,51,47
Apr 12, 2018,8:21:19 PM,46,51,47
Apr 12, 2018,8:21:19 PM,46,51,47
Apr 12, 2018,8:21:19 PM,45,51,46
Apr 12, 2018,8:21:20 PM,45,51,46
Apr 12, 2018,8:21:20 PM,45,51,46
Apr 12, 2018,8:21:20 PM,45,51,46
Apr 12, 2018,8:21:20 PM,45,51,46
Apr 12, 2018,8:21:20 PM,45,51,46
Apr 12, 2018,8:21:21 PM,45,51,46
Apr 12, 2018,8:21:21 PM,45,51,46
Apr 12, 2018,8:21:21 PM,45,51,46
Apr 12, 2018,8:21:21 PM,44,51,46
Apr 12, 2018,8:21:21 PM,43,51,46
Apr 12, 2018,8:21:22 PM,44,51,46
Apr 12, 2018,8:21:22 PM,43,51,46
Apr 12, 2018,8:21:22 PM,42,51,46
Apr 12, 2018,8:21:22 PM,43,51,46
Apr 12, 2018,8:21:22 PM,43,51,46
Apr 12, 2018,8:21:23 PM,41,51,46
Apr 12, 2018,8:21:23 PM,40,51,46
Apr 12, 2018,8:21:23 PM,41,51,46
Apr 12, 2018,8:21:23 PM,40,51,46
Apr 12, 2018,8:21:23 PM,39,51,46
Apr 12, 2018,8:21:24 PM,39,51,46
Apr 12, 2018,8:21:24 PM,42,51,46
Apr 12, 2018,8:21:24 PM,44,51,46
Apr 12, 2018,8:21:24 PM,42,51,46
Apr 12, 2018,8:21:24 PM,41,51,46
Apr 12, 2018,8:21:25 PM,40,51,46
