Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:40:59 PM,49,0,49
Apr 12, 2018,8:40:59 PM,47,47,48
Apr 12, 2018,8:41:00 PM,45,47,47
Apr 12, 2018,8:41:00 PM,44,47,46
Apr 12, 2018,8:41:00 PM,44,47,45
Apr 12, 2018,8:41:00 PM,45,47,45
Apr 12, 2018,8:41:00 PM,60,60,47
Apr 12, 2018,8:41:01 PM,88,88,52
Apr 12, 2018,8:41:01 PM,90,90,56
Apr 12, 2018,8:41:01 PM,81,90,59
Apr 12, 2018,8:41:01 PM,88,90,61
Apr 12, 2018,8:41:01 PM,94,94,64
Apr 12, 2018,8:41:02 PM,92,94,66
Apr 12, 2018,8:41:02 PM,94,94,68
Apr 12, 2018,8:41:02 PM,90,94,70
Apr 12, 2018,8:41:02 PM,90,94,71
Apr 12, 2018,8:41:02 PM,96,96,72
Apr 12, 2018,8:41:03 PM,92,96,73
Apr 12, 2018,8:41:03 PM,88,96,74
Apr 12, 2018,8:41:03 PM,71,96,74
Apr 12, 2018,8:41:03 PM,69,96,74
Apr 12, 2018,8:41:03 PM,94,96,75
Apr 12, 2018,8:41:04 PM,108,108,76
Apr 12, 2018,8:41:04 PM,108,108,77
Apr 12, 2018,8:41:04 PM,108,108,79
Apr 12, 2018,8:41:04 PM,108,108,80
Apr 12, 2018,8:41:04 PM,105,108,81
Apr 12, 2018,8:41:05 PM,105,108,81
Apr 12, 2018,8:41:05 PM,102,108,82
Apr 12, 2018,8:41:05 PM,99,108,83
Apr 12, 2018,8:41:05 PM,105,108,83
Apr 12, 2018,8:41:05 PM,88,108,83
Apr 12, 2018,8:41:06 PM,86,108,84
Apr 12, 2018,8:41:06 PM,78,108,83
Apr 12, 2018,8:41:06 PM,77,108,83
Apr 12, 2018,8:41:06 PM,86,108,83
Apr 12, 2018,8:41:06 PM,75,108,83
Apr 12, 2018,8:41:07 PM,74,108,83
Apr 12, 2018,8:41:07 PM,73,108,82
Apr 12, 2018,8:41:07 PM,68,108,82
Apr 12, 2018,8:41:07 PM,74,108,82
Apr 12, 2018,8:41:07 PM,83,108,82
Apr 12, 2018,8:41:08 PM,74,108,82
Apr 12, 2018,8:41:08 PM,61,108,81
Apr 12, 2018,8:41:08 PM,56,108,81
Apr 12, 2018,8:41:08 PM,66,108,80
Apr 12, 2018,8:41:08 PM,90,108,81
Apr 12, 2018,8:41:09 PM,94,108,81
Apr 12, 2018,8:41:09 PM,94,108,81
Apr 12, 2018,8:41:09 PM,99,108,81
Apr 12, 2018,8:41:09 PM,94,108,82
Apr 12, 2018,8:41:09 PM,92,108,82
Apr 12, 2018,8:41:10 PM,77,108,82
Apr 12, 2018,8:41:10 PM,66,108,81
Apr 12, 2018,8:41:10 PM,60,108,81
Apr 12, 2018,8:41:10 PM,54,108,81
Apr 12, 2018,8:41:10 PM,54,108,80
Apr 12, 2018,8:41:11 PM,70,108,80
Apr 12, 2018,8:41:11 PM,88,108,80
Apr 12, 2018,8:41:11 PM,102,108,80
Apr 12, 2018,8:41:11 PM,99,108,81
Apr 12, 2018,8:41:11 PM,99,108,81
Apr 12, 2018,8:41:12 PM,96,108,81
Apr 12, 2018,8:41:12 PM,90,108,81
Apr 12, 2018,8:41:12 PM,86,108,81
Apr 12, 2018,8:41:12 PM,88,108,81
Apr 12, 2018,8:41:12 PM,78,108,81
Apr 12, 2018,8:41:13 PM,73,108,81
Apr 12, 2018,8:41:13 PM,60,108,81
Apr 12, 2018,8:41:13 PM,54,108,81
Apr 12, 2018,8:41:13 PM,54,108,80
Apr 12, 2018,8:41:13 PM,56,108,80
Apr 12, 2018,8:41:14 PM,61,108,80
Apr 12, 2018,8:41:14 PM,54,108,79
Apr 12, 2018,8:41:14 PM,50,108,79
Apr 12, 2018,8:41:14 PM,54,108,79
Apr 12, 2018,8:41:14 PM,55,108,78
Apr 12, 2018,8:41:15 PM,51,108,78
Apr 12, 2018,8:41:15 PM,53,108,78
Apr 12, 2018,8:41:15 PM,53,108,77
Apr 12, 2018,8:41:15 PM,51,108,77
Apr 12, 2018,8:41:15 PM,54,108,77
Apr 12, 2018,8:41:16 PM,53,108,76
Apr 12, 2018,8:41:16 PM,52,108,76
Apr 12, 2018,8:41:16 PM,52,108,76
Apr 12, 2018,8:41:16 PM,68,108,76
Apr 12, 2018,8:41:16 PM,92,108,76
Apr 12, 2018,8:41:17 PM,99,108,76
Apr 12, 2018,8:41:17 PM,120,120,77
Apr 12, 2018,8:41:17 PM,115,120,77
Apr 12, 2018,8:41:17 PM,115,120,77
Apr 12, 2018,8:41:17 PM,119,120,78
Apr 12, 2018,8:41:18 PM,111,120,78
Apr 12, 2018,8:41:18 PM,111,120,79
