time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.010936,-0.028856,-0.031970,0.005110
0.020946,-0.052320,-0.037228,0.003952
0.030986,-0.034190,-0.031937,0.001891
0.041026,-0.017123,-0.025575,-0.000168
0.051036,0.026613,-0.012912,0.002149
0.061077,0.026627,-0.006494,0.000043
0.071086,0.009542,-0.017108,-0.002191
0.081127,-0.012865,-0.024495,-0.005493
0.091136,-0.029929,-0.028712,-0.005560
0.101177,-0.014991,-0.025582,-0.000162
0.111217,-0.012852,-0.023458,0.000922
0.121227,-0.017151,-0.029796,-0.010870
0.131267,-0.026736,-0.024400,-0.016213
0.141277,0.006343,-0.017092,-0.003268
0.151317,0.025546,-0.015059,0.005340
0.161327,-0.004308,-0.018156,0.003107
0.171367,-0.029913,-0.025533,-0.000203
0.181407,-0.029915,-0.027679,0.001923
0.191417,-0.012837,-0.021352,0.007341
0.201457,0.001010,-0.021372,0.002038
0.211467,-0.012858,-0.020209,-0.008677
0.221507,-0.008582,-0.021341,0.002012
0.231517,-0.005401,-0.025608,-0.001204
0.241557,0.011693,-0.012868,0.003176
0.251567,-0.001117,-0.019224,0.000974
0.261608,-0.007509,-0.018136,0.000962
0.271648,-0.021383,-0.024493,-0.000175
0.281658,-0.020313,-0.023434,0.000901
0.291698,-0.002175,-0.017090,0.002050
0.301708,-0.009642,-0.018124,-0.000112
0.311748,-0.009639,-0.017056,-0.000107
0.321758,-0.010709,-0.018115,-0.001184
0.331798,-0.004308,-0.017078,0.000976
0.341838,-0.002174,-0.017095,0.003118
0.351848,-0.012841,-0.019186,0.000942
0.361888,-0.011778,-0.019180,-0.001191
0.371898,-0.008579,-0.019195,-0.000115
0.381938,-0.002189,-0.021357,0.000961
0.391948,-0.001115,-0.019229,0.002042
0.401988,-0.016029,-0.015972,0.000948
0.412029,-0.018179,-0.020217,-0.003351
0.422038,-0.000057,-0.021364,0.000967
0.432079,-0.004311,-0.019224,0.003102
0.442088,-0.014968,-0.018116,0.002009
0.452129,-0.007530,-0.024533,-0.001205
0.462139,-0.012842,-0.019181,-0.000126
0.472179,-0.003247,-0.019222,0.002037
0.482219,-0.003262,-0.024562,0.002011
0.492229,-0.008568,-0.017074,0.003100
0.502269,-0.016047,-0.021302,-0.001213
0.512279,-0.010716,-0.022402,0.002001
0.522319,-0.006450,-0.021348,0.002018
0.532329,-0.007516,-0.021344,0.002015
0.542369,-0.005387,-0.022419,0.002015
0.552410,-0.011779,-0.020253,-0.000128
0.562419,-0.000054,-0.020296,0.000972
0.572460,-0.008583,-0.021336,0.000944
0.582469,-0.013913,-0.020241,-0.001202
0.592510,-0.007515,-0.020271,0.000952
0.602519,-0.013920,-0.022371,-0.002281
0.612560,-0.003251,-0.021363,0.003095
0.622600,-0.007531,-0.024528,-0.002273
0.632610,-0.004308,-0.017078,0.000976
0.642650,-0.007527,-0.022387,-0.003331
0.652660,-0.007524,-0.022397,-0.001195
0.662700,-0.008587,-0.021326,-0.001193
0.672710,-0.011790,-0.023451,-0.001212
0.682750,-0.009649,-0.020254,-0.001191
0.692790,-0.009660,-0.023453,-0.002274
0.702800,-0.000053,-0.019223,-0.000091
0.712840,-0.004328,-0.022403,-0.002254
0.722850,-0.010719,-0.022392,-0.000136
0.732890,-0.012859,-0.023438,-0.003351
0.742900,-0.008595,-0.024530,-0.001208
0.752941,-0.004329,-0.023475,-0.001191
0.762981,-0.008589,-0.022394,-0.001198
0.772991,-0.003262,-0.022406,-0.002251
0.783031,-0.012859,-0.023438,-0.003351
0.793041,-0.004339,-0.024523,-0.005469
0.803088,-0.001129,-0.022418,-0.001177
0.813098,-0.016051,-0.023442,-0.000155
0.823138,-0.005386,-0.020268,-0.001179
0.833178,-0.010724,-0.022377,-0.003340
0.843188,-0.003247,-0.019222,0.002037
0.853228,-0.001129,-0.022418,-0.001177
0.863238,-0.009639,-0.018134,0.002024
0.873278,-0.012859,-0.022360,-0.005482
0.883288,-0.009654,-0.022395,-0.000133
0.893328,-0.003263,-0.023479,-0.001188
0.903369,-0.009654,-0.022395,-0.000133
0.913378,-0.005391,-0.021331,-0.002252
0.923419,-0.013920,-0.021293,-0.004412
0.933428,-0.005386,-0.020268,-0.001179
0.943469,-0.005385,-0.020273,-0.000111
0.953479,-0.010724,-0.023455,-0.001209
0.963519,-0.008591,-0.021311,-0.004397
0.973559,-0.021384,-0.022337,-0.004438
0.983569,-0.000072,-0.024547,-0.003321
0.993609,-0.008585,-0.020253,-0.002256
1.003619,-0.009651,-0.020249,-0.002259
1.013659,-0.003274,-0.025600,-0.004403
1.023669,-0.010729,-0.024518,-0.002282
1.033709,-0.003265,-0.023474,-0.002256
1.043750,-0.006461,-0.023469,-0.001197
1.053759,-0.007521,-0.020251,-0.003321
1.053759,-0.007521,-0.020251,-0.003321
1.073809,-0.006457,-0.021328,-0.002255
1.073809,-0.006457,-0.021328,-0.002255
1.093859,-0.012853,-0.022380,-0.001210
1.103900,-0.007537,-0.026664,-0.002283
1.113940,-0.012859,-0.023438,-0.003351
1.123950,-0.001125,-0.020277,-0.002235
1.123950,-0.001125,-0.020277,-0.002235
1.144000,-0.011783,-0.020242,-0.002265
1.144000,-0.011783,-0.020242,-0.002265
1.164050,-0.011799,-0.025577,-0.003358
1.174090,-0.009649,-0.020254,-0.001191
1.174090,-0.009649,-0.020254,-0.001191
1.194140,-0.009648,-0.020259,-0.000123
1.194140,-0.009648,-0.020259,-0.000123
1.214190,0.002070,-0.022433,-0.000100
1.224230,-0.002201,-0.023472,-0.003322
1.224230,-0.002201,-0.023472,-0.003322
1.244281,-0.012855,-0.021297,-0.004409
1.254290,-0.007533,-0.023445,-0.005473
1.264331,-0.002183,-0.018143,-0.001160
1.264331,-0.002183,-0.018143,-0.001160
1.274371,-0.005401,-0.023452,-0.005467
1.284381,-0.010717,-0.020246,-0.002262
1.304431,-0.008585,-0.019175,-0.004387
1.304431,-0.008585,-0.019175,-0.004387
1.314471,-0.003270,-0.023459,-0.005461
1.324481,-0.016058,-0.023422,-0.004428
1.334521,-0.010727,-0.022367,-0.005477
1.354571,-0.005397,-0.022396,-0.004388
1.364611,-0.005404,-0.024520,-0.005472
1.374621,-0.014992,-0.023426,-0.004425
1.374621,-0.014992,-0.023426,-0.004425
1.384661,-0.012852,-0.020229,-0.004404
1.394671,-0.007532,-0.022372,-0.006536
1.404711,-0.003270,-0.024537,-0.003330
1.414752,-0.008591,-0.022389,-0.002266
1.424761,-0.010727,-0.023445,-0.003345
1.434802,-0.004331,-0.022392,-0.004391
1.444812,-0.008590,-0.021316,-0.003329
1.454852,-0.004337,-0.024528,-0.004401
1.464862,-0.011787,-0.022383,-0.001207
1.474902,-0.008599,-0.023441,-0.005476
1.484942,-0.002189,-0.019201,-0.003302
1.494952,-0.000059,-0.020281,-0.002233
1.515002,-0.012866,-0.026647,-0.002298
1.515002,-0.012866,-0.026647,-0.002298
1.525042,-0.013922,-0.022366,-0.003349
1.535052,-0.007527,-0.022387,-0.003331
1.555133,-0.009660,-0.023453,-0.002274
1.565142,-0.011786,-0.021310,-0.002270
1.575183,-0.004331,-0.022392,-0.004391
1.575183,-0.004331,-0.022392,-0.004391
1.585192,-0.005389,-0.020258,-0.003315
1.595233,-0.006464,-0.023458,-0.003333
1.605242,-0.014993,-0.025577,-0.001231
1.615283,-0.006468,-0.025599,-0.002275
1.625323,-0.008591,-0.021311,-0.004397
1.635333,-0.002192,-0.021347,-0.001175
1.645373,-0.004341,-0.025591,-0.005474
1.655383,-0.011791,-0.023446,-0.002280
1.665423,-0.013928,-0.023424,-0.005490
1.675433,-0.008593,-0.022384,-0.003334
1.685473,-0.005391,-0.020253,-0.004384
1.695513,-0.007521,-0.020251,-0.003321
1.705523,-0.016040,-0.018093,-0.002266
1.715563,-0.014982,-0.019149,-0.005473
1.725573,-0.004321,-0.019194,-0.003307
1.735614,-0.008594,-0.022379,-0.004402
1.755664,-0.027771,-0.019107,-0.005508
1.755664,-0.027771,-0.019107,-0.005508
1.765704,0.001011,-0.018143,-0.003288
1.775714,0.005280,-0.016021,-0.003266
1.785754,0.004206,-0.019221,-0.003284
1.795805,-0.032031,-0.019104,-0.003384
1.805845,-0.011786,-0.018076,-0.008664
1.815855,0.006344,-0.019249,0.000995
1.825895,-0.000059,-0.021359,-0.000101
1.835935,-0.039492,-0.018001,-0.005535
1.855985,0.018094,-0.009675,0.001072
1.865995,-0.010709,-0.018115,-0.001184
1.865995,-0.010709,-0.018115,-0.001184
1.876035,-0.026697,-0.014829,-0.007621
1.886045,-0.000032,-0.010669,-0.002187
1.896085,-0.011769,-0.015976,-0.001176
