Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:52:41 PM,38,0,38
Apr 12, 2018,8:52:42 PM,40,40,39
Apr 12, 2018,8:52:42 PM,41,41,39
Apr 12, 2018,8:52:42 PM,42,42,40
Apr 12, 2018,8:52:42 PM,50,50,42
Apr 12, 2018,8:52:42 PM,53,53,44
Apr 12, 2018,8:52:43 PM,54,54,45
Apr 12, 2018,8:52:43 PM,52,54,46
Apr 12, 2018,8:52:43 PM,48,54,46
Apr 12, 2018,8:52:43 PM,50,54,46
Apr 12, 2018,8:52:43 PM,52,54,47
Apr 12, 2018,8:52:44 PM,52,54,47
Apr 12, 2018,8:52:44 PM,56,56,48
Apr 12, 2018,8:52:44 PM,55,56,48
Apr 12, 2018,8:52:44 PM,45,56,48
Apr 12, 2018,8:52:44 PM,42,56,48
Apr 12, 2018,8:52:45 PM,47,56,48
Apr 12, 2018,8:52:45 PM,56,56,48
Apr 12, 2018,8:52:45 PM,59,59,49
Apr 12, 2018,8:52:45 PM,59,59,49
Apr 12, 2018,8:52:45 PM,54,59,49
Apr 12, 2018,8:52:46 PM,53,59,49
Apr 12, 2018,8:52:46 PM,47,59,49
Apr 12, 2018,8:52:46 PM,53,59,49
Apr 12, 2018,8:52:46 PM,63,63,50
Apr 12, 2018,8:52:46 PM,66,66,51
Apr 12, 2018,8:52:47 PM,56,66,51
Apr 12, 2018,8:52:47 PM,53,66,51
Apr 12, 2018,8:52:47 PM,48,66,51
Apr 12, 2018,8:52:47 PM,48,66,51
Apr 12, 2018,8:52:47 PM,52,66,51
Apr 12, 2018,8:52:48 PM,56,66,51
Apr 12, 2018,8:52:48 PM,56,66,51
Apr 12, 2018,8:52:48 PM,53,66,51
Apr 12, 2018,8:52:48 PM,51,66,51
Apr 12, 2018,8:52:48 PM,47,66,51
Apr 12, 2018,8:52:49 PM,47,66,51
Apr 12, 2018,8:52:49 PM,47,66,51
Apr 12, 2018,8:52:49 PM,51,66,51
Apr 12, 2018,8:52:49 PM,52,66,51
Apr 12, 2018,8:52:49 PM,51,66,51
Apr 12, 2018,8:52:50 PM,52,66,51
Apr 12, 2018,8:52:50 PM,56,66,51
Apr 12, 2018,8:52:50 PM,49,66,51
Apr 12, 2018,8:52:50 PM,45,66,51
Apr 12, 2018,8:52:50 PM,46,66,50
Apr 12, 2018,8:52:51 PM,47,66,50
Apr 12, 2018,8:52:51 PM,51,66,50
Apr 12, 2018,8:52:51 PM,55,66,50
Apr 12, 2018,8:52:51 PM,55,66,51
Apr 12, 2018,8:52:51 PM,51,66,51
Apr 12, 2018,8:52:52 PM,49,66,50
Apr 12, 2018,8:52:52 PM,45,66,50
Apr 12, 2018,8:52:52 PM,49,66,50
Apr 12, 2018,8:52:52 PM,52,66,50
Apr 12, 2018,8:52:52 PM,56,66,50
Apr 12, 2018,8:52:53 PM,60,66,51
Apr 12, 2018,8:52:53 PM,53,66,51
Apr 12, 2018,8:52:53 PM,49,66,51
Apr 12, 2018,8:52:53 PM,48,66,51
Apr 12, 2018,8:52:53 PM,47,66,50
Apr 12, 2018,8:52:54 PM,49,66,50
Apr 12, 2018,8:52:54 PM,51,66,50
Apr 12, 2018,8:52:54 PM,51,66,50
Apr 12, 2018,8:52:54 PM,49,66,50
