time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.019154,0.090426,-0.062244,0.002092
0.019154,0.090426,-0.062244,0.002092
0.029195,-0.124626,0.023874,0.005110
0.039204,-0.063956,-0.004074,0.001940
0.049245,0.076606,-0.048306,-0.000017
0.059254,0.041462,-0.039664,0.003132
0.069295,-0.070333,0.001276,0.004084
0.079335,-0.032006,-0.012721,0.001988
0.089345,0.039336,-0.035365,-0.001127
0.099385,0.010580,-0.028874,0.000961
0.109395,-0.030938,-0.012730,0.003059
0.119435,-0.022428,-0.019170,0.004120
0.129445,0.007395,-0.024592,0.000972
0.139485,0.003139,-0.021369,-0.000092
0.149525,-0.007514,-0.021349,0.003083
0.159535,-0.010716,-0.023480,0.004132
0.169575,-0.012839,-0.020269,0.004141
0.179585,-0.004331,-0.024548,-0.000128
0.189626,0.003139,-0.022447,0.002039
0.199635,0.003132,-0.025656,0.003092
0.209676,-0.021364,-0.019169,0.003055
0.219716,-0.014969,-0.018111,0.000941
0.229726,0.000993,-0.026702,-0.000124
0.239766,0.002064,-0.025647,0.002021
0.249776,-0.007504,-0.019229,0.006298
0.259816,-0.023493,-0.018094,0.003054
0.269826,-0.005389,-0.022414,0.000947
0.279866,0.005265,-0.023512,-0.000097
0.289906,-0.000061,-0.024583,0.004156
0.299916,-0.017104,-0.020250,0.003062
0.309956,-0.018168,-0.019174,0.001996
0.319966,-0.001124,-0.022433,0.002027
0.330006,0.008458,-0.025663,0.000970
0.340016,-0.004321,-0.023501,0.004150
0.350056,-0.025627,-0.019155,0.003043
0.360066,-0.008583,-0.021336,0.000944
0.370106,0.009523,-0.025666,0.000973
0.380147,-0.002190,-0.023508,0.004156
0.390157,-0.017099,-0.019188,0.004135
0.400197,-0.013900,-0.018125,0.003080
0.410207,0.001003,-0.023503,0.000960
0.420247,0.004199,-0.023508,-0.000100
0.430257,-0.007523,-0.024553,0.003068
0.440297,-0.019231,-0.019181,0.004129
0.450337,-0.010708,-0.019198,0.002016
0.460347,0.002072,-0.022438,0.000968
0.470387,0.007396,-0.024597,0.002041
0.480397,-0.009646,-0.022421,0.005208
0.490437,-0.024558,-0.019168,0.005183
0.500447,-0.001121,-0.021365,0.002032
0.510487,0.005278,-0.020323,0.003123
0.520528,-0.007519,-0.022412,0.002010
0.530537,-0.010712,-0.021339,0.003074
0.540578,-0.011766,-0.017064,0.003091
0.550587,-0.009645,-0.019192,-0.000117
0.560628,-0.001112,-0.018161,0.002047
0.570637,-0.006459,-0.024552,0.002002
0.580678,-0.012839,-0.020269,0.004141
0.590718,-0.009636,-0.017066,0.002029
0.600728,-0.006438,-0.017076,0.002038
0.610768,0.003123,-0.027782,0.000945
0.620778,-0.007521,-0.022407,0.000941
0.630818,-0.011772,-0.019200,0.003081
0.640828,-0.007518,-0.021339,0.000946
0.650868,-0.004323,-0.022418,0.000950
0.660908,0.000994,-0.027785,0.003076
0.670918,-0.012840,-0.020264,0.003073
0.680966,-0.012835,-0.018128,0.003083
0.690975,-0.002183,-0.019221,0.000971
0.701016,-0.000070,-0.026708,0.002010
0.711025,-0.009652,-0.023478,0.003067
0.721066,-0.012835,-0.018128,0.003083
0.721066,-0.012835,-0.018128,0.003083
0.741116,0.003155,-0.016034,0.001001
0.751156,-0.003256,-0.021348,-0.000110
0.761166,-0.007520,-0.024563,0.005204
0.771206,-0.008574,-0.020288,0.005221
0.781216,0.002089,-0.016031,0.000998
0.791256,0.006338,-0.021384,0.000985
0.801296,-0.011785,-0.024544,0.004124
0.811306,-0.007499,-0.017088,0.005240
0.821346,-0.001117,-0.020302,0.003106
0.831356,-0.008592,-0.024540,0.000928
0.841396,-0.006447,-0.020280,0.002023
0.851406,-0.007522,-0.023480,0.002005
0.861446,-0.004319,-0.021355,0.002023
0.871487,-0.008580,-0.021346,0.003080
