time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.015354,-0.073500,0.014117,0.000932
0.035404,0.034008,-0.036425,0.000990
0.035404,0.034008,-0.036425,0.000990
0.045444,-0.035184,-0.007387,0.005209
0.055485,0.018021,-0.039608,0.007340
0.065494,-0.013883,-0.012795,0.005242
0.075535,-0.001136,-0.026705,0.002007
0.085544,-0.012854,-0.023453,-0.000146
0.095585,-0.003263,-0.025635,0.003074
0.105595,-0.005396,-0.024545,-0.000131
0.115635,-0.006475,-0.024501,-0.008680
0.125645,-0.009675,-0.019095,-0.020413
0.135685,-0.000095,-0.029861,-0.008687
0.145695,-0.007527,-0.022387,-0.003331
0.155735,-0.012871,-0.024475,-0.009765
0.165745,0.004156,-0.023372,-0.028941
0.175785,-0.021356,-0.020272,0.010527
0.185825,0.005234,-0.034186,-0.001215
0.195835,-0.011764,-0.018147,0.006291
0.205875,0.013842,-0.015082,0.018127
0.215885,-0.032997,-0.019419,0.063910
0.225925,-0.013995,-0.027519,-0.042897
0.235935,0.021222,-0.025624,-0.016086
0.245975,-0.021319,-0.015003,0.025507
0.255985,0.004178,-0.030984,-0.000135
0.266025,-0.014986,-0.015905,-0.014003
0.276035,-0.002231,-0.030917,-0.009766
0.286075,-0.011785,-0.024544,0.004124
0.296085,-0.002202,-0.023467,-0.004390
0.306126,-0.003292,-0.022310,-0.022547
0.316166,-0.012872,-0.026626,-0.006571
0.326176,-0.004311,-0.025687,0.014822
0.336216,-0.009642,-0.017046,-0.002244
0.346241,-0.001141,-0.026690,-0.001198
0.356281,-0.005374,-0.018153,0.003104
0.366291,-0.000082,-0.030980,0.001990
0.376331,-0.011780,-0.023482,0.005197
0.386341,-0.004329,-0.024554,0.000940
0.396381,-0.002187,-0.021362,0.002029
0.406391,-0.010708,-0.019198,0.002016
0.416431,0.004178,-0.032062,0.001996
0.426441,-0.017090,-0.015984,0.004150
0.436481,0.005257,-0.026721,0.000956
0.446491,-0.012833,-0.018133,0.004152
0.456531,-0.009664,-0.026672,0.000915
0.466571,-0.001130,-0.025647,0.004148
0.476581,-0.011776,-0.020263,0.002008
0.486621,0.002064,-0.025647,0.002021
0.496631,-0.014956,-0.013845,0.002030
0.506672,0.005241,-0.033133,0.001994
0.516681,-0.017095,-0.018125,0.005208
0.526722,0.000995,-0.025634,-0.000119
0.536731,-0.005380,-0.020288,0.003094
0.546772,-0.011772,-0.019200,0.003081
0.556781,0.003122,-0.029933,0.004140
0.566822,-0.012836,-0.019201,0.004147
