time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.001588,-0.009653,-0.023473,0.001999
0.008453,-0.009659,-0.025609,0.001989
0.018462,-0.003259,-0.022416,-0.000115
0.028503,-0.011782,-0.022399,0.001998
0.038512,-0.006462,-0.025620,0.001997
0.048553,-0.007519,-0.022412,0.002010
0.058593,-0.005401,-0.026686,0.000927
0.068603,-0.001118,-0.020297,0.002037
0.078643,-0.008586,-0.023482,0.003070
0.088653,-0.007512,-0.019204,0.000957
0.098693,-0.011780,-0.022404,0.003066
0.108703,-0.005391,-0.022409,-0.000121
0.118743,-0.007510,-0.019209,0.002025
0.128783,-0.007528,-0.025616,0.001994
0.138793,-0.009646,-0.020265,0.000946
0.148834,-0.009652,-0.022400,0.000936
0.158843,-0.003256,-0.022426,0.002021
0.168884,-0.009641,-0.020280,0.004150
0.178893,-0.005381,-0.020283,0.002026
0.188934,-0.008585,-0.022409,0.002007
0.198974,-0.006453,-0.021338,-0.000119
0.208984,-0.009640,-0.018129,0.000956
0.219024,-0.005396,-0.025623,0.002000
0.229034,-0.008577,-0.020278,0.003085
0.239074,-0.011776,-0.020263,0.002008
0.249084,-0.002187,-0.021362,0.002029
0.259124,-0.005380,-0.020288,0.003094
0.269134,-0.005385,-0.020273,-0.000111
0.279174,-0.008596,-0.026681,0.001986
0.289214,-0.008585,-0.021331,-0.000125
0.299224,-0.004311,-0.019224,0.003102
0.309264,-0.003262,-0.024562,0.002011
0.319274,-0.007510,-0.020287,0.004156
0.329314,-0.009648,-0.021338,0.002009
0.339324,-0.005391,-0.022409,-0.000121
0.349365,-0.013906,-0.019183,0.000939
0.359405,-0.006456,-0.023484,0.002007
0.369415,-0.009637,-0.018139,0.003092
0.379455,-0.007522,-0.022402,-0.000127
0.389465,-0.001120,-0.021370,0.003100
0.399505,-0.005389,-0.023492,0.003079
0.409515,-0.010709,-0.020271,0.003079
0.419555,-0.010716,-0.022402,0.002001
0.429565,-0.007512,-0.019204,0.000957
0.439605,-0.005381,-0.021361,0.004157
0.449645,-0.003256,-0.022426,0.002021
0.459655,-0.011769,-0.017054,0.000955
0.469695,-0.011784,-0.022393,0.000930
0.479705,-0.002187,-0.020284,-0.000102
0.489745,-0.010698,-0.017072,0.004163
0.499755,-0.005386,-0.022424,0.003084
0.509795,-0.007509,-0.019214,0.003093
0.519836,-0.008579,-0.019195,-0.000115
0.529845,-0.005379,-0.019216,0.002031
0.539886,-0.005392,-0.023482,0.000942
0.549896,-0.008570,-0.017069,0.002032
0.559936,-0.010716,-0.022402,0.002001
0.569946,-0.004319,-0.021355,0.002023
0.579986,-0.008579,-0.020273,0.002017
