time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.010097,-0.015008,-0.028760,-0.005519
-0.010097,-0.015008,-0.028760,-0.005519
0.019994,-0.006461,-0.022391,-0.003328
0.030003,-0.009650,-0.022405,0.002004
0.040044,-0.003253,-0.021358,0.002026
0.050053,-0.011799,-0.025577,-0.003358
0.060094,-0.002178,-0.018158,0.002045
0.070103,-0.010734,-0.028810,0.001970
0.080144,-0.006437,-0.018159,0.005237
0.090154,-0.007519,-0.021334,-0.000122
0.100194,-0.008579,-0.020273,0.002017
0.110234,-0.004322,-0.022423,0.002018
0.120244,-0.008601,-0.028822,0.003045
0.130284,-0.005384,-0.021351,0.002021
0.140294,-0.004326,-0.023486,0.000945
0.150334,-0.004319,-0.021355,0.002023
0.160344,-0.007522,-0.024558,0.004136
0.170384,-0.007519,-0.023490,0.004141
0.180394,-0.007521,-0.021329,-0.001190
0.190434,-0.006452,-0.021343,0.000949
0.200444,-0.001117,-0.020302,0.003106
0.210484,-0.008601,-0.027743,0.000913
0.220525,-0.006446,-0.020285,0.003091
0.230534,-0.006452,-0.020265,-0.001182
0.240575,-0.008586,-0.022404,0.000938
0.250584,-0.005384,-0.022429,0.004152
0.260625,-0.011794,-0.026670,0.001978
0.270634,-0.002184,-0.020294,0.002034
0.280675,-0.009645,-0.019192,-0.000117
0.290685,-0.001117,-0.020302,0.003106
0.300725,-0.010726,-0.026679,0.003049
0.310735,-0.009646,-0.022421,0.005208
0.320775,-0.008592,-0.024540,0.000928
0.330815,-0.004319,-0.021355,0.002023
0.340825,-0.002191,-0.023503,0.003087
0.350865,-0.007529,-0.025611,0.000926
0.360875,-0.008576,-0.019205,0.002022
0.370915,-0.007524,-0.022397,-0.001195
0.380925,-0.002178,-0.019236,0.004176
0.390965,-0.006462,-0.025620,0.001997
0.401002,-0.009658,-0.025614,0.003057
0.411042,-0.003247,-0.019222,0.002037
0.421052,-0.006449,-0.020275,0.000954
0.431092,-0.002181,-0.019226,0.002039
0.441133,-0.009665,-0.027745,0.001978
0.451142,-0.005383,-0.022434,0.005220
0.461183,-0.007522,-0.022402,-0.000127
0.471192,-0.006447,-0.020280,0.002023
0.481233,-0.005384,-0.022429,0.004152
0.491243,-0.009668,-0.028813,0.001973
0.501283,-0.009643,-0.020275,0.003082
0.511293,-0.007515,-0.020271,0.000952
0.521333,-0.002193,-0.023498,0.002019
0.531343,-0.008592,-0.025618,0.003060
0.541383,-0.006447,-0.021358,0.004154
0.551423,-0.005392,-0.022404,-0.001189
0.561433,-0.011779,-0.020253,-0.000128
0.571473,-0.001111,-0.018166,0.003116
0.581483,-0.007535,-0.027747,0.000916
0.591523,-0.006457,-0.024557,0.003071
0.601533,-0.006455,-0.021333,-0.001187
0.611573,-0.009646,-0.020265,0.000946
0.621583,-0.005387,-0.023497,0.004147
0.631623,-0.008596,-0.026681,0.001986
0.641633,-0.006443,-0.019217,0.003096
0.651673,-0.007518,-0.020261,-0.001185
0.661714,-0.002182,-0.020299,0.003103
0.671724,-0.010722,-0.024538,0.001991
0.681764,-0.007522,-0.024558,0.004136
0.691774,-0.008589,-0.024550,0.003065
0.701814,-0.012838,-0.019196,0.003078
0.721864,-0.011807,-0.029859,-0.001242
0.731874,-0.008580,-0.021346,0.003080
0.741914,-0.008567,-0.016001,0.002037
0.751924,-0.003260,-0.024567,0.003079
0.761964,-0.010712,-0.021339,0.003074
0.772004,-0.001115,-0.019229,0.002042
0.782014,-0.005384,-0.022429,0.004152
0.792054,-0.012835,-0.018128,0.003083
0.802064,0.003157,-0.016039,0.002069
0.812104,-0.004345,-0.030966,0.001978
0.822114,-0.014977,-0.021320,0.001994
0.832154,0.003178,-0.010720,0.006367
0.842164,-0.006478,-0.029876,-0.001227
0.852204,-0.003257,-0.023499,0.003084
0.862214,-0.007519,-0.022412,0.002010
0.872255,-0.000054,-0.021374,0.003103
0.882295,-0.005392,-0.024560,0.003074
0.892305,-0.007518,-0.021339,0.000946
0.902345,-0.005396,-0.025623,0.002000
0.912355,-0.007513,-0.022433,0.006282
0.922395,-0.007509,-0.018136,0.000962
0.932405,-0.006460,-0.025625,0.003066
0.942445,-0.005392,-0.023482,0.000942
0.952455,-0.006453,-0.022416,0.002013
0.962495,-0.001118,-0.021375,0.004169
0.972505,-0.011782,-0.022399,0.001998
0.982545,-0.009646,-0.020265,0.000946
0.992585,-0.009646,-0.020265,0.000946
1.002595,0.005278,-0.020323,0.003123
